group,detector,variant,case,AP,AP50,AP75,AP_delta_no_adapt,AP50_delta_no_adapt,AP75_delta_no_adapt,AP_delta_global_generic,AP50_delta_global_generic,AP75_delta_global_generic,AP_delta_det_pseudo,AP50_delta_det_pseudo,AP75_delta_det_pseudo
aggregate,source,det_pseudo_clip_radius,contrast_s2,31.261037817225674,50.64543902680284,33.157620776369555,0.11296457083981304,0.2597487669608656,0.286085594401958,0.23251219860517258,0.33280125925746473,0.38601749387249806,0.09715732943129107,0.19456338629468828,0.23176013665209827
aggregate,source,det_pseudo_clip_radius,color_cast_s1,36.56080361240621,58.271418281786616,39.75012214498763,0.027375950310803976,0.063165943295318,-0.24002735054960977,-0.08674462950050699,0.10114978543122044,-0.09985995113381274,-0.10622857776934613,0.26782545469883345,-0.14524704368460983
aggregate,source,det_pseudo_clip_radius,color_cast_s2,35.74654956049893,56.97666733038904,38.17768226785834,0.08855094951014664,0.12842121532454787,0.17871676955821814,0.06922322210568543,0.1551469142409445,0.12502425264268036,0.736632666991871,1.0270532145966627,1.0528288004384156
aggregate,source,det_pseudo_clip_radius,clean_s0,37.55993271241495,59.32994165657648,40.2220724923316,-0.017910704859031013,-0.1014312091500491,-0.05983418417963016,0.057739194029882146,0.03685355791359646,-0.06322459906294431,0.23114804774358455,0.3269163909742412,0.14130669367845017
aggregate,target,no_adapt,gamma_s1,38.19271478359937,57.48869166857514,39.48443689466523,0.0,0.0,0.0,0.07692292891907648,0.10124661814995273,0.11917580159808705,0.015622972149442749,-0.24381711588871147,0.2937707154740621
aggregate,target,no_adapt,gamma_s2,36.5540975421435,55.33695633803395,37.67061955969205,0.0,0.0,0.0,0.37386126561423927,0.34203802952852413,0.36041459708552326,0.23828959653670045,0.1782129407911559,0.46530444634090284
aggregate,target,no_adapt,contrast_s1,37.612096240386975,56.51031864726084,38.419792188867106,0.0,0.0,0.0,0.03047108286848288,0.052129475490902966,-0.11541455990702332,-0.1107666732939605,0.047340154418229474,-0.18274993855137978
aggregate,target,no_adapt,contrast_s2,33.100939938529656,50.16808257707651,33.594524028610145,0.0,0.0,0.0,-0.02474628038854343,0.1144121278249366,-0.26257362568775644,-0.12951169268030638,-0.12411381453548698,-0.23605331915140804
aggregate,target,no_adapt,color_cast_s1,38.15204260897872,57.13586062471988,40.4166214062572,0.0,0.0,0.0,-0.03729227616459663,-0.07957228025954333,0.05706287573564728,-0.03870391699767883,-0.08498335134869972,0.0834385197398757
aggregate,target,no_adapt,color_cast_s2,36.87347295866096,55.31322729159021,38.92313037963233,0.0,0.0,0.0,-0.05768890222938028,-0.07589390734636936,-0.02333096069125351,0.13865812832930535,0.08029168208932846,0.05879519958715829
aggregate,target,no_adapt,clean_s0,39.31558777940498,58.770939829219515,41.72499973438719,0.0,0.0,0.0,0.02190808246207432,0.023468055225084328,0.14059223371061802,0.10760974154490066,0.3105262755929594,-0.059207504870567584
aggregate,target,global_generic,gamma_s1,38.11579185468029,57.38744505042519,39.36526109306715,-0.07692292891907648,-0.10124661814995273,-0.11917580159808705,0.0,0.0,0.0,-0.061299956769633734,-0.3450637340386642,0.17459491387597503
aggregate,target,global_generic,gamma_s2,36.18023627652926,54.994918308505426,37.31020496260653,-0.37386126561423927,-0.34203802952852413,-0.36041459708552326,0.0,0.0,0.0,-0.13557166907753881,-0.16382508873736823,0.10488984925537959
aggregate,target,global_generic,contrast_s1,37.581625157518495,56.45818917176994,38.53520674877413,-0.03047108286848288,-0.052129475490902966,0.11541455990702332,0.0,0.0,0.0,-0.14123775616244338,-0.004789321072673491,-0.06733537864435646
aggregate,target,global_generic,contrast_s2,33.1256862189182,50.05367044925158,33.8570976542979,0.02474628038854343,-0.1144121278249366,0.26257362568775644,0.0,0.0,0.0,-0.10476541229176295,-0.23852594236042357,0.026520306536348404
aggregate,target,global_generic,color_cast_s1,38.18933488514332,57.21543290497942,40.359558530521554,0.03729227616459663,0.07957228025954333,-0.05706287573564728,0.0,0.0,0.0,-0.0014116408330822061,-0.005411071089156394,0.026375644004228427
aggregate,target,global_generic,color_cast_s2,36.93116186089034,55.38912119893658,38.94646134032359,0.05768890222938028,0.07589390734636936,0.02333096069125351,0.0,0.0,0.0,0.19634703055868563,0.15618558943569782,0.0821261602784118
aggregate,target,global_generic,clean_s0,39.29367969694291,58.747471773994434,41.584407500676576,-0.02190808246207432,-0.023468055225084328,-0.14059223371061802,0.0,0.0,0.0,0.08570165908282634,0.2870582203678751,-0.1997997385811856
aggregate,target,det_pseudo,gamma_s1,38.17709181144993,57.73250878446385,39.19066617919117,-0.015622972149442749,0.24381711588871147,-0.2937707154740621,0.061299956769633734,0.3450637340386642,-0.17459491387597503,0.0,0.0,0.0
aggregate,target,det_pseudo,gamma_s2,36.3158079456068,55.158743397242795,37.20531511335115,-0.23828959653670045,-0.1782129407911559,-0.46530444634090284,0.13557166907753881,0.16382508873736823,-0.10488984925537959,0.0,0.0,0.0
aggregate,target,det_pseudo,contrast_s1,37.722862913680935,56.46297849284261,38.60254212741849,0.1107666732939605,-0.047340154418229474,0.18274993855137978,0.14123775616244338,0.004789321072673491,0.06733537864435646,0.0,0.0,0.0
aggregate,target,det_pseudo,contrast_s2,33.23045163120996,50.292196391611995,33.830577347761555,0.12951169268030638,0.12411381453548698,0.23605331915140804,0.10476541229176295,0.23852594236042357,-0.026520306536348404,0.0,0.0,0.0
aggregate,target,det_pseudo,color_cast_s1,38.1907465259764,57.22084397606858,40.33318288651733,0.03870391699767883,0.08498335134869972,-0.0834385197398757,0.0014116408330822061,0.005411071089156394,-0.026375644004228427,0.0,0.0,0.0
aggregate,target,det_pseudo,color_cast_s2,36.73481483033166,55.23293560950088,38.864335180045174,-0.13865812832930535,-0.08029168208932846,-0.05879519958715829,-0.19634703055868563,-0.15618558943569782,-0.0821261602784118,0.0,0.0,0.0
aggregate,target,det_pseudo,clean_s0,39.20797803786008,58.46041355362656,41.78420723925776,-0.10760974154490066,-0.3105262755929594,0.059207504870567584,-0.08570165908282634,-0.2870582203678751,0.1997997385811856,0.0,0.0,0.0
aggregate,target,det_pseudo_clip_radius,gamma_s1,38.28265847422105,57.54842729720442,39.52552954208801,0.0899436906216855,0.05973562862927606,0.04109264742278018,0.16686661954076198,0.1609822467792288,0.16026844902086723,0.10556666277112825,-0.1840814872594354,0.33486336289684226
aggregate,target,det_pseudo_clip_radius,gamma_s2,36.44873706875518,55.36721435866939,37.41981520476304,-0.10536047338832177,0.030258020635443028,-0.2508043549290073,0.2685007922259175,0.37229605016396716,0.10961024215651594,0.13292912314837868,0.20847096142659893,0.21450009141189552
aggregate,target,det_pseudo_clip_radius,contrast_s1,37.730386812666275,56.506051038707525,38.70842860840214,0.1182905722793004,-0.004267608553309987,0.28863641953503216,0.14876165514778328,0.04786186693759298,0.17322185962800885,0.007523898985339894,0.04307254586491949,0.10588648098365239
