config,role,seed,clean_coverage,corruption_coverage,clean_effective_phi3,clean_nonzero_phi_fraction,clean_latency_estimate_seconds,corruption_latency_estimate_seconds,target_positive_blocks,ssd_positive_blocks,source_macro_AP_delta_no_adapt,source_clean_AP_delta_no_adapt,source_macro_AP50_delta_no_adapt,source_clean_AP50_delta_no_adapt,source_macro_AP75_delta_no_adapt,source_clean_AP75_delta_no_adapt,source_positive_conditions_no_adapt,source_macro_AP_delta_full_hybrid,source_clean_AP_delta_full_hybrid,source_macro_AP50_delta_full_hybrid,source_clean_AP50_delta_full_hybrid,source_macro_AP75_delta_full_hybrid,source_clean_AP75_delta_full_hybrid,source_positive_conditions_full_hybrid,target_macro_AP_delta_no_adapt,target_clean_AP_delta_no_adapt,target_macro_AP50_delta_no_adapt,target_clean_AP50_delta_no_adapt,target_macro_AP75_delta_no_adapt,target_clean_AP75_delta_no_adapt,target_positive_conditions_no_adapt,target_macro_AP_delta_full_hybrid,target_clean_AP_delta_full_hybrid,target_macro_AP50_delta_full_hybrid,target_clean_AP50_delta_full_hybrid,target_macro_AP75_delta_full_hybrid,target_clean_AP75_delta_full_hybrid,target_positive_conditions_full_hybrid,ssd_macro_AP_delta_no_adapt,ssd_clean_AP_delta_no_adapt,ssd_macro_AP50_delta_no_adapt,ssd_clean_AP50_delta_no_adapt,ssd_macro_AP75_delta_no_adapt,ssd_clean_AP75_delta_no_adapt,ssd_positive_conditions_no_adapt,ssd_macro_AP_delta_full_hybrid,ssd_clean_AP_delta_full_hybrid,ssd_macro_AP50_delta_full_hybrid,ssd_clean_AP50_delta_full_hybrid,ssd_macro_AP75_delta_full_hybrid,ssd_clean_AP75_delta_full_hybrid,ssd_positive_conditions_full_hybrid,R012_rule_met
random_2026091607,random,2026091607,1.0,0.4166666666666667,0.028837466146796942,1.0,0.3149545664928155,0.16292166607793965,1,0,-0.4634320574914618,-0.11398014801480283,-0.1888135242095653,2.1327132713271304,-0.5708695869586955,0.22002200220021528,0,-0.12803735730716007,0.0,1.6386236837969526,0.0,-1.595159515951595,0.0,1,1.8175212220556762,-0.340441736481345,0.15024732787436249,0.01618431073877602,1.934604643265784,0.0,4,0.009444539510015485,0.0,-0.0552295530660755,0.0,0.023370887745436757,0.0,1,-0.08767982438948237,-0.1649755546274223,-0.5856604610078651,-0.6786969019482614,-0.0009990315270843226,0.0,1,2.101319703670087,0.0,2.0280813359749414,0.0,4.123416373895454,0.0,3,
random_2026091608,random,2026091608,1.0,0.4166666666666667,0.028837466146796942,1.0,0.3149545664928155,0.16292166607793965,1,0,-0.4634320574914618,-0.11398014801480283,-0.1888135242095653,2.1327132713271304,-0.5708695869586955,0.22002200220021528,0,-0.12803735730716007,0.0,1.6386236837969526,0.0,-1.595159515951595,0.0,1,1.8175212220556762,-0.340441736481345,0.15024732787436249,0.01618431073877602,1.934604643265784,0.0,4,0.009444539510015485,0.0,-0.0552295530660755,0.0,0.023370887745436757,0.0,1,-0.08767982438948237,-0.1649755546274223,-0.5856604610078651,-0.6786969019482614,-0.0009990315270843226,0.0,1,2.101319703670087,0.0,2.0280813359749414,0.0,4.123416373895454,0.0,3,
random_2026091609,random,2026091609,1.0,0.4166666666666667,0.028837466146796942,1.0,0.3149545664928155,0.16292166607793965,1,0,-0.4634320574914618,-0.11398014801480283,-0.1888135242095653,2.1327132713271304,-0.5708695869586955,0.22002200220021528,0,-0.12803735730716007,0.0,1.6386236837969526,0.0,-1.595159515951595,0.0,1,1.8175212220556762,-0.340441736481345,0.15024732787436249,0.01618431073877602,1.934604643265784,0.0,4,0.009444539510015485,0.0,-0.0552295530660755,0.0,0.023370887745436757,0.0,1,-0.08767982438948237,-0.1649755546274223,-0.5856604610078651,-0.6786969019482614,-0.0009990315270843226,0.0,1,2.101319703670087,0.0,2.0280813359749414,0.0,4.123416373895454,0.0,3,
random_2026091610,random,2026091610,1.0,0.4166666666666667,0.028837466146796942,1.0,0.3149545664928155,0.16292166607793965,1,0,-0.4634320574914618,-0.11398014801480283,-0.1888135242095653,2.1327132713271304,-0.5708695869586955,0.22002200220021528,0,-0.12803735730716007,0.0,1.6386236837969526,0.0,-1.595159515951595,0.0,1,1.8175212220556762,-0.340441736481345,0.15024732787436249,0.01618431073877602,1.934604643265784,0.0,4,0.009444539510015485,0.0,-0.0552295530660755,0.0,0.023370887745436757,0.0,1,-0.08767982438948237,-0.1649755546274223,-0.5856604610078651,-0.6786969019482614,-0.0009990315270843226,0.0,1,2.101319703670087,0.0,2.0280813359749414,0.0,4.123416373895454,0.0,3,
random_2026091611,random,2026091611,1.0,0.4166666666666667,0.028837466146796942,1.0,0.3149545664928155,0.16292166607793965,1,0,-0.4634320574914618,-0.11398014801480283,-0.1888135242095653,2.1327132713271304,-0.5708695869586955,0.22002200220021528,0,-0.12803735730716007,0.0,1.6386236837969526,0.0,-1.595159515951595,0.0,1,1.8175212220556762,-0.340441736481345,0.15024732787436249,0.01618431073877602,1.934604643265784,0.0,4,0.009444539510015485,0.0,-0.0552295530660755,0.0,0.023370887745436757,0.0,1,-0.08767982438948237,-0.1649755546274223,-0.5856604610078651,-0.6786969019482614,-0.0009990315270843226,0.0,1,2.101319703670087,0.0,2.0280813359749414,0.0,4.123416373895454,0.0,3,
random_2026091612,random,2026091612,1.0,0.4166666666666667,0.028837466146796942,1.0,0.3149545664928155,0.16292166607793965,1,0,-0.4634320574914618,-0.11398014801480283,-0.1888135242095653,2.1327132713271304,-0.5708695869586955,0.22002200220021528,0,-0.12803735730716007,0.0,1.6386236837969526,0.0,-1.595159515951595,0.0,1,1.8175212220556762,-0.340441736481345,0.15024732787436249,0.01618431073877602,1.934604643265784,0.0,4,0.009444539510015485,0.0,-0.0552295530660755,0.0,0.023370887745436757,0.0,1,-0.08767982438948237,-0.1649755546274223,-0.5856604610078651,-0.6786969019482614,-0.0009990315270843226,0.0,1,2.101319703670087,0.0,2.0280813359749414,0.0,4.123416373895454,0.0,3,
random_2026091613,random,2026091613,1.0,0.4166666666666667,0.028837466146796942,1.0,0.3149545664928155,0.16292166607793965,1,0,-0.4634320574914618,-0.11398014801480283,-0.1888135242095653,2.1327132713271304,-0.5708695869586955,0.22002200220021528,0,-0.12803735730716007,0.0,1.6386236837969526,0.0,-1.595159515951595,0.0,1,1.8175212220556762,-0.340441736481345,0.15024732787436249,0.01618431073877602,1.934604643265784,0.0,4,0.009444539510015485,0.0,-0.0552295530660755,0.0,0.023370887745436757,0.0,1,-0.08767982438948237,-0.1649755546274223,-0.5856604610078651,-0.6786969019482614,-0.0009990315270843226,0.0,1,2.101319703670087,0.0,2.0280813359749414,0.0,4.123416373895454,0.0,3,
random_2026091614,random,2026091614,1.0,0.4166666666666667,0.028837466146796942,1.0,0.3149545664928155,0.16292166607793965,1,0,-0.4634320574914618,-0.11398014801480283,-0.1888135242095653,2.1327132713271304,-0.5708695869586955,0.22002200220021528,0,-0.12803735730716007,0.0,1.6386236837969526,0.0,-1.595159515951595,0.0,1,1.8175212220556762,-0.340441736481345,0.15024732787436249,0.01618431073877602,1.934604643265784,0.0,4,0.009444539510015485,0.0,-0.0552295530660755,0.0,0.023370887745436757,0.0,1,-0.08767982438948237,-0.1649755546274223,-0.5856604610078651,-0.6786969019482614,-0.0009990315270843226,0.0,1,2.101319703670087,0.0,2.0280813359749414,0.0,4.123416373895454,0.0,3,
random_2026091615,random,2026091615,1.0,0.4166666666666667,0.028837466146796942,1.0,0.3149545664928155,0.16292166607793965,1,0,-0.4634320574914618,-0.11398014801480283,-0.1888135242095653,2.1327132713271304,-0.5708695869586955,0.22002200220021528,0,-0.12803735730716007,0.0,1.6386236837969526,0.0,-1.595159515951595,0.0,1,1.8175212220556762,-0.340441736481345,0.15024732787436249,0.01618431073877602,1.934604643265784,0.0,4,0.009444539510015485,0.0,-0.0552295530660755,0.0,0.023370887745436757,0.0,1,-0.08767982438948237,-0.1649755546274223,-0.5856604610078651,-0.6786969019482614,-0.0009990315270843226,0.0,1,2.101319703670087,0.0,2.0280813359749414,0.0,4.123416373895454,0.0,3,
random_2026091616,random,2026091616,1.0,0.4166666666666667,0.028837466146796942,1.0,0.3149545664928155,0.16292166607793965,1,0,-0.4634320574914618,-0.11398014801480283,-0.1888135242095653,2.1327132713271304,-0.5708695869586955,0.22002200220021528,0,-0.12803735730716007,0.0,1.6386236837969526,0.0,-1.595159515951595,0.0,1,1.8175212220556762,-0.340441736481345,0.15024732787436249,0.01618431073877602,1.934604643265784,0.0,4,0.009444539510015485,0.0,-0.0552295530660755,0.0,0.023370887745436757,0.0,1,-0.08767982438948237,-0.1649755546274223,-0.5856604610078651,-0.6786969019482614,-0.0009990315270843226,0.0,1,2.101319703670087,0.0,2.0280813359749414,0.0,4.123416373895454,0.0,3,
random_2026091617,random,2026091617,1.0,0.4166666666666667,0.028837466146796942,1.0,0.3149545664928155,0.16292166607793965,1,0,-0.4634320574914618,-0.11398014801480283,-0.1888135242095653,2.1327132713271304,-0.5708695869586955,0.22002200220021528,0,-0.12803735730716007,0.0,1.6386236837969526,0.0,-1.595159515951595,0.0,1,1.8175212220556762,-0.340441736481345,0.15024732787436249,0.01618431073877602,1.934604643265784,0.0,4,0.009444539510015485,0.0,-0.0552295530660755,0.0,0.023370887745436757,0.0,1,-0.08767982438948237,-0.1649755546274223,-0.5856604610078651,-0.6786969019482614,-0.0009990315270843226,0.0,1,2.101319703670087,0.0,2.0280813359749414,0.0,4.123416373895454,0.0,3,
random_2026091618,random,2026091618,1.0,0.4166666666666667,0.028837466146796942,1.0,0.3149545664928155,0.16292166607793965,1,0,-0.4634320574914618,-0.11398014801480283,-0.1888135242095653,2.1327132713271304,-0.5708695869586955,0.22002200220021528,0,-0.12803735730716007,0.0,1.6386236837969526,0.0,-1.595159515951595,0.0,1,1.8175212220556762,-0.340441736481345,0.15024732787436249,0.01618431073877602,1.934604643265784,0.0,4,0.009444539510015485,0.0,-0.0552295530660755,0.0,0.023370887745436757,0.0,1,-0.08767982438948237,-0.1649755546274223,-0.5856604610078651,-0.6786969019482614,-0.0009990315270843226,0.0,1,2.101319703670087,0.0,2.0280813359749414,0.0,4.123416373895454,0.0,3,
random_2026091619,random,2026091619,1.0,0.4166666666666667,0.028837466146796942,1.0,0.3149545664928155,0.16292166607793965,1,0,-0.4634320574914618,-0.11398014801480283,-0.1888135242095653,2.1327132713271304,-0.5708695869586955,0.22002200220021528,0,-0.12803735730716007,0.0,1.6386236837969526,0.0,-1.595159515951595,0.0,1,1.8175212220556762,-0.340441736481345,0.15024732787436249,0.01618431073877602,1.934604643265784,0.0,4,0.009444539510015485,0.0,-0.0552295530660755,0.0,0.023370887745436757,0.0,1,-0.08767982438948237,-0.1649755546274223,-0.5856604610078651,-0.6786969019482614,-0.0009990315270843226,0.0,1,2.101319703670087,0.0,2.0280813359749414,0.0,4.123416373895454,0.0,3,
random_2026091620,random,2026091620,1.0,0.4166666666666667,0.028837466146796942,1.0,0.3149545664928155,0.16292166607793965,1,0,-0.4634320574914618,-0.11398014801480283,-0.1888135242095653,2.1327132713271304,-0.5708695869586955,0.22002200220021528,0,-0.12803735730716007,0.0,1.6386236837969526,0.0,-1.595159515951595,0.0,1,1.8175212220556762,-0.340441736481345,0.15024732787436249,0.01618431073877602,1.934604643265784,0.0,4,0.009444539510015485,0.0,-0.0552295530660755,0.0,0.023370887745436757,0.0,1,-0.08767982438948237,-0.1649755546274223,-0.5856604610078651,-0.6786969019482614,-0.0009990315270843226,0.0,1,2.101319703670087,0.0,2.0280813359749414,0.0,4.123416373895454,0.0,3,
random_2026091621,random,2026091621,1.0,0.4166666666666667,0.028837466146796942,1.0,0.3149545664928155,0.16292166607793965,1,0,-0.4634320574914618,-0.11398014801480283,-0.1888135242095653,2.1327132713271304,-0.5708695869586955,0.22002200220021528,0,-0.12803735730716007,0.0,1.6386236837969526,0.0,-1.595159515951595,0.0,1,1.8175212220556762,-0.340441736481345,0.15024732787436249,0.01618431073877602,1.934604643265784,0.0,4,0.009444539510015485,0.0,-0.0552295530660755,0.0,0.023370887745436757,0.0,1,-0.08767982438948237,-0.1649755546274223,-0.5856604610078651,-0.6786969019482614,-0.0009990315270843226,0.0,1,2.101319703670087,0.0,2.0280813359749414,0.0,4.123416373895454,0.0,3,
random_2026091622,random,2026091622,1.0,0.4166666666666667,0.028837466146796942,1.0,0.3149545664928155,0.16292166607793965,1,0,-0.4634320574914618,-0.11398014801480283,-0.1888135242095653,2.1327132713271304,-0.5708695869586955,0.22002200220021528,0,-0.12803735730716007,0.0,1.6386236837969526,0.0,-1.595159515951595,0.0,1,1.8175212220556762,-0.340441736481345,0.15024732787436249,0.01618431073877602,1.934604643265784,0.0,4,0.009444539510015485,0.0,-0.0552295530660755,0.0,0.023370887745436757,0.0,1,-0.08767982438948237,-0.1649755546274223,-0.5856604610078651,-0.6786969019482614,-0.0009990315270843226,0.0,1,2.101319703670087,0.0,2.0280813359749414,0.0,4.123416373895454,0.0,3,
random_2026091623,random,2026091623,1.0,0.4166666666666667,0.028837466146796942,1.0,0.3149545664928155,0.16292166607793965,1,0,-0.4634320574914618,-0.11398014801480283,-0.1888135242095653,2.1327132713271304,-0.5708695869586955,0.22002200220021528,0,-0.12803735730716007,0.0,1.6386236837969526,0.0,-1.595159515951595,0.0,1,1.8175212220556762,-0.340441736481345,0.15024732787436249,0.01618431073877602,1.934604643265784,0.0,4,0.009444539510015485,0.0,-0.0552295530660755,0.0,0.023370887745436757,0.0,1,-0.08767982438948237,-0.1649755546274223,-0.5856604610078651,-0.6786969019482614,-0.0009990315270843226,0.0,1,2.101319703670087,0.0,2.0280813359749414,0.0,4.123416373895454,0.0,3,
random_2026091624,random,2026091624,1.0,0.4166666666666667,0.028837466146796942,1.0,0.3149545664928155,0.16292166607793965,1,0,-0.4634320574914618,-0.11398014801480283,-0.1888135242095653,2.1327132713271304,-0.5708695869586955,0.22002200220021528,0,-0.12803735730716007,0.0,1.6386236837969526,0.0,-1.595159515951595,0.0,1,1.8175212220556762,-0.340441736481345,0.15024732787436249,0.01618431073877602,1.934604643265784,0.0,4,0.009444539510015485,0.0,-0.0552295530660755,0.0,0.023370887745436757,0.0,1,-0.08767982438948237,-0.1649755546274223,-0.5856604610078651,-0.6786969019482614,-0.0009990315270843226,0.0,1,2.101319703670087,0.0,2.0280813359749414,0.0,4.123416373895454,0.0,3,
random_2026091625,random,2026091625,1.0,0.4166666666666667,0.028837466146796942,1.0,0.3149545664928155,0.16292166607793965,1,0,-0.4634320574914618,-0.11398014801480283,-0.1888135242095653,2.1327132713271304,-0.5708695869586955,0.22002200220021528,0,-0.12803735730716007,0.0,1.6386236837969526,0.0,-1.595159515951595,0.0,1,1.8175212220556762,-0.340441736481345,0.15024732787436249,0.01618431073877602,1.934604643265784,0.0,4,0.009444539510015485,0.0,-0.0552295530660755,0.0,0.023370887745436757,0.0,1,-0.08767982438948237,-0.1649755546274223,-0.5856604610078651,-0.6786969019482614,-0.0009990315270843226,0.0,1,2.101319703670087,0.0,2.0280813359749414,0.0,4.123416373895454,0.0,3,
random_2026091626,random,2026091626,1.0,0.4166666666666667,0.028837466146796942,1.0,0.3149545664928155,0.16292166607793965,1,0,-0.4634320574914618,-0.11398014801480283,-0.1888135242095653,2.1327132713271304,-0.5708695869586955,0.22002200220021528,0,-0.12803735730716007,0.0,1.6386236837969526,0.0,-1.595159515951595,0.0,1,1.8175212220556762,-0.340441736481345,0.15024732787436249,0.01618431073877602,1.934604643265784,0.0,4,0.009444539510015485,0.0,-0.0552295530660755,0.0,0.023370887745436757,0.0,1,-0.08767982438948237,-0.1649755546274223,-0.5856604610078651,-0.6786969019482614,-0.0009990315270843226,0.0,1,2.101319703670087,0.0,2.0280813359749414,0.0,4.123416373895454,0.0,3,
random_2026091627,random,2026091627,1.0,0.4166666666666667,0.028837466146796942,1.0,0.3149545664928155,0.16292166607793965,1,0,-0.4634320574914618,-0.11398014801480283,-0.1888135242095653,2.1327132713271304,-0.5708695869586955,0.22002200220021528,0,-0.12803735730716007,0.0,1.6386236837969526,0.0,-1.595159515951595,0.0,1,1.8175212220556762,-0.340441736481345,0.15024732787436249,0.01618431073877602,1.934604643265784,0.0,4,0.009444539510015485,0.0,-0.0552295530660755,0.0,0.023370887745436757,0.0,1,-0.08767982438948237,-0.1649755546274223,-0.5856604610078651,-0.6786969019482614,-0.0009990315270843226,0.0,1,2.101319703670087,0.0,2.0280813359749414,0.0,4.123416373895454,0.0,3,
random_2026091628,random,2026091628,1.0,0.4166666666666667,0.028837466146796942,1.0,0.3149545664928155,0.16292166607793965,1,0,-0.4634320574914618,-0.11398014801480283,-0.1888135242095653,2.1327132713271304,-0.5708695869586955,0.22002200220021528,0,-0.12803735730716007,0.0,1.6386236837969526,0.0,-1.595159515951595,0.0,1,1.8175212220556762,-0.340441736481345,0.15024732787436249,0.01618431073877602,1.934604643265784,0.0,4,0.009444539510015485,0.0,-0.0552295530660755,0.0,0.023370887745436757,0.0,1,-0.08767982438948237,-0.1649755546274223,-0.5856604610078651,-0.6786969019482614,-0.0009990315270843226,0.0,1,2.101319703670087,0.0,2.0280813359749414,0.0,4.123416373895454,0.0,3,
random_2026091629,random,2026091629,1.0,0.4166666666666667,0.028837466146796942,1.0,0.3149545664928155,0.16292166607793965,1,0,-0.4634320574914618,-0.11398014801480283,-0.1888135242095653,2.1327132713271304,-0.5708695869586955,0.22002200220021528,0,-0.12803735730716007,0.0,1.6386236837969526,0.0,-1.595159515951595,0.0,1,1.8175212220556762,-0.340441736481345,0.15024732787436249,0.01618431073877602,1.934604643265784,0.0,4,0.009444539510015485,0.0,-0.0552295530660755,0.0,0.023370887745436757,0.0,1,-0.08767982438948237,-0.1649755546274223,-0.5856604610078651,-0.6786969019482614,-0.0009990315270843226,0.0,1,2.101319703670087,0.0,2.0280813359749414,0.0,4.123416373895454,0.0,3,
random_2026091630,random,2026091630,1.0,0.4166666666666667,0.028837466146796942,1.0,0.3149545664928155,0.16292166607793965,1,0,-0.4634320574914618,-0.11398014801480283,-0.1888135242095653,2.1327132713271304,-0.5708695869586955,0.22002200220021528,0,-0.12803735730716007,0.0,1.6386236837969526,0.0,-1.595159515951595,0.0,1,1.8175212220556762,-0.340441736481345,0.15024732787436249,0.01618431073877602,1.934604643265784,0.0,4,0.009444539510015485,0.0,-0.0552295530660755,0.0,0.023370887745436757,0.0,1,-0.08767982438948237,-0.1649755546274223,-0.5856604610078651,-0.6786969019482614,-0.0009990315270843226,0.0,1,2.101319703670087,0.0,2.0280813359749414,0.0,4.123416373895454,0.0,3,
