config,group,detector,case,AP,AP50,AP75,AP_delta_no_adapt,AP50_delta_no_adapt,AP75_delta_no_adapt,AP_delta_full_hybrid,AP50_delta_full_hybrid,AP75_delta_full_hybrid
support_confidence_high_50,aggregate,ssd,gamma_s1,24.201384044111986,40.42440095626015,25.104465421322075,0.0229434136309159,0.060091997519085005,0.03893713529768417,0.021827122725959214,-0.02250246150414248,-0.019068922366238805
support_confidence_high_50,aggregate,ssd,gamma_s2,23.27702208705948,39.132978793066165,23.786738001041716,0.01929263092104727,-0.009107942643787892,-0.05252941281478074,-0.09896807853636835,-0.22726227117399467,0.00792660534781886
support_confidence_high_50,aggregate,ssd,contrast_s1,24.664087065386468,41.43449842742038,25.203285414570615,-0.009251566382634246,0.030797592638009963,-0.04034816527911378,-0.05778353787730117,-0.028073572026598992,-0.036562775453108376
support_confidence_high_50,aggregate,ssd,contrast_s2,22.856956644268347,38.783060708871545,22.469135389131566,-0.03524767785458849,-0.04424325498121329,-0.17436166931433517,-0.05926517256278907,-0.15585893684971208,0.07144469399012754
support_confidence_high_50,aggregate,ssd,color_cast_s1,24.263381214806678,40.724021218914366,24.58228017371538,0.024753070317926062,0.03147848378380336,0.020351036616828022,-0.023369863778638367,-0.0018369278483032492,-0.03358296224117985
support_confidence_high_50,aggregate,ssd,color_cast_s2,23.64807738047489,39.680177396058816,24.02692907731593,-0.019829712295676982,-0.0060163721767647615,-0.011566000694832046,0.02725531554474414,0.025464295962335237,0.07503489532716678
support_confidence_high_50,aggregate,ssd,clean_s0,24.80517020580374,41.56166766643396,25.578989546615215,-0.03075909381820563,-0.018852658334311823,-0.009740729135987447,-0.026637760138872868,0.032534564817199296,-0.0028069419834353404
support_confidence_high_50,block_1,source,gamma_s1,40.72084438965201,60.51795919368037,45.83216405477435,-0.2629083013879596,-0.10025935698730892,-0.31176212687294425,0.05350643741884875,-0.013875058410961483,0.03974334384114764
support_confidence_high_50,block_1,source,gamma_s2,39.60599065855444,59.47759995149775,43.27283186899575,-0.08132247487851463,-0.06631125335920807,-0.38611666903589636,0.09482880487992063,0.14887482776665406,0.20174429151124662
support_confidence_high_50,block_1,source,contrast_s1,39.267947091174335,59.255472104241214,42.59670225251279,-0.3561154090312435,-0.040059283226334674,-0.06168174996863951,-0.3119520983813018,-0.2678293912768859,-0.4519972816287854
support_confidence_high_50,block_1,source,contrast_s2,35.38544477348489,52.54030306362756,39.00358039494757,0.036235160575964764,-0.36703333926249027,-0.04839534383689337,0.04356070366576259,-0.5297283699744804,0.5832061177791559
support_confidence_high_50,block_1,source,color_cast_s1,40.62129093392788,59.6210061124394,45.423520512784286,0.09247185048123496,0.07526094700444075,-0.07079963776346343,-0.19066460128618345,-0.13400498932727434,-0.010443656302339122
support_confidence_high_50,block_1,source,color_cast_s2,39.44175721662349,58.34357948407135,43.72887082087513,0.12147094165821382,-0.0013349473870660766,-0.15209772563781754,0.18647343776935776,0.22032450483367993,0.46577965787076847
support_confidence_high_50,block_1,source,clean_s0,41.16679674617855,61.69376896503894,44.176485089371035,-0.1041496952495169,0.012200619867419604,-0.29079137860976156,0.0895721563480445,0.2544509339820644,-0.41278336045308395
support_confidence_high_50,block_1,target,gamma_s1,42.39923175486353,59.375524502335864,45.88611225159962,-0.25561084220644403,-0.18827481952176095,-0.2836880065942293,0.09858419082880987,0.25352770633005894,0.22331467295775842
support_confidence_high_50,block_1,target,gamma_s2,40.85042816823688,58.00120961524657,44.02401923345711,-0.03326920067578398,0.031618952479173235,0.02699862418055754,0.08378007637988016,0.030029846488077716,0.4136793421027851
support_confidence_high_50,block_1,target,contrast_s1,41.538247146967585,58.175040873920516,43.91956364983851,0.11147579509730998,0.17457336818743618,0.1388546311104466,-0.36143812141024023,-0.26034029845077855,-0.41857263044273174
