config,group,detector,macro_AP_delta_no_adapt,positive_conditions_no_adapt,clean_AP_delta_no_adapt,macro_AP_delta_full_hybrid,positive_conditions_full_hybrid,clean_AP_delta_full_hybrid
det_norm_high_50,block_3,target,-0.043617824028925146,3,-0.06747973780610872,0.007227539857445249,4,0.03150411472441772
det_norm_high_50,block_3,ssd,0.0540096002103585,3,-0.14702066895438404,-0.029857077629550737,2,-0.2283020336732111
det_norm_high_50,block_4,source,0.03369250791749508,3,-0.08081819362082965,0.01325489250171008,3,-0.16920160896056746
det_norm_high_50,block_4,target,0.04016828279629255,3,0.12896074171079852,-0.05806961714081756,2,-0.010929710698925899
det_norm_high_50,block_4,ssd,0.005781741278740778,3,-0.19909354087132014,-0.02584325779323854,2,-0.00510338015969336
det_norm_high_50,block_5,source,0.051387751572884444,3,0.014227164661717584,0.019867708545430924,4,-0.02173807013333695
det_norm_high_50,block_5,target,0.06238884875856739,4,0.1976973899071255,-0.018303671498784424,1,-0.07243339969489893
det_norm_high_50,block_5,ssd,0.11587313279981619,6,-0.031130031771731126,0.09143687435316239,4,0.046670256010411526
det_norm_high_75,aggregate,source,0.012938425224700198,4,-0.04353201383588412,-0.05424376107978542,3,-0.025621308976853108
det_norm_high_75,aggregate,target,0.055980936731937304,5,0.04122274453044472,-0.014290670243588544,1,-0.01972457620509349
det_norm_high_75,aggregate,ssd,0.025279245873769302,5,0.019696408287711575,-0.006881482929794551,3,0.023817741967044337
det_norm_high_75,block_1,source,-0.06957784386329435,2,-0.1705629912174711,-0.01525769108850957,2,0.023158860380090296
det_norm_high_75,block_1,target,0.09698492349992834,3,0.05389049591933426,0.0034478142755931898,2,-0.013746112805829158
det_norm_high_75,block_1,ssd,0.008365404286345135,3,0.020153030750846845,0.01294210796117338,3,0.02244029670376846
det_norm_high_75,block_2,source,0.06667836450269804,4,-0.36462828718780704,-0.011570047918482707,4,-0.026729773765699072
det_norm_high_75,block_2,target,0.14546278624676112,3,-0.1859762163567702,-0.016589226174059297,3,-0.0009422001251202516
det_norm_high_75,block_2,ssd,-0.0026235430563228044,3,0.0181173068724505,-0.05799580105468697,1,0.034322873097530904
det_norm_high_75,block_3,source,-0.016420953208731714,3,0.019052857605156293,-0.03284662396394004,2,-0.030993806275125824
det_norm_high_75,block_3,target,-0.07673361213250778,2,-0.08253790188070265,-0.025888248246137373,2,0.016445950649823793
det_norm_high_75,block_3,ssd,0.0689701052331293,3,-0.15225851244689004,-0.014896572606779937,3,-0.2335398771657171
det_norm_high_75,block_4,source,0.054337203069884654,2,-0.019888604077122896,0.03389958765409965,5,-0.10827201941686071
det_norm_high_75,block_4,target,0.06337312493546095,4,0.16822372751976733,-0.03486477500164916,3,0.02833327511004291
det_norm_high_75,block_4,ssd,0.02987133523870746,4,-0.1651513450887987,-0.0017536638332718568,3,0.028838815622828085
det_norm_high_75,block_5,source,0.092353435085842,4,0.09924167434206543,0.06083339205838848,4,0.0632764395470109
det_norm_high_75,block_5,target,0.10187437977967433,5,0.2647244644082114,0.021181859522322505,3,-0.005406325193813011
det_norm_high_75,block_5,ssd,0.02622618705254154,3,0.032119713528611094,0.0017899286058877435,3,0.10992000131075375
det_norm_low_25,aggregate,source,-0.017933959975488523,1,0.03532172265061084,-0.08511614627997414,1,0.053232427509641855
det_norm_low_25,aggregate,target,0.009479044320844418,4,0.0252956858558806,-0.060792562654681435,1,-0.03565163487965761
det_norm_low_25,aggregate,ssd,0.005217781020991352,3,-0.03503956076370829,-0.0269429477825725,1,-0.030918227084375527
det_norm_low_25,block_1,source,0.010281663653430306,5,0.02962229376464176,0.0646018164282151,4,0.22334414536220315
det_norm_low_25,block_1,target,0.018904671545094676,4,0.014349351096387686,-0.07463243767924048,3,-0.05328725762877573
det_norm_low_25,block_1,ssd,-0.0033156998882742186,3,-0.0056314348982344775,0.001261003786554027,3,-0.0033441689453128642
det_norm_low_25,block_2,source,0.014721016401602246,3,0.005333139678659338,-0.0635273960195785,2,0.3432316531007673
det_norm_low_25,block_2,target,0.014408211337658497,3,-0.04334611737669136,-0.1476438010831619,3,0.14168789885495858
det_norm_low_25,block_2,ssd,0.05635071905467359,5,-0.037584906354387604,0.0009784610563094247,3,-0.0213793401293072
det_norm_low_25,block_3,source,0.040178373216151475,4,0.028597539634100944,0.02375270246094315,3,-0.021449124246181173
det_norm_low_25,block_3,target,0.03569490874767711,4,-0.001097359318208424,0.08654027263404751,4,0.09788649321231802
det_norm_low_25,block_3,ssd,0.012994357676597105,4,0.0009539879096520654,-0.07087232016331213,3,-0.08032737680917501
det_norm_low_25,block_4,source,-0.09333621444961489,2,0.10658783530044791,-0.1137738298653999,3,0.018204419960710094
det_norm_low_25,block_4,target,0.06727168295887116,3,0.0043199443905739265,-0.030966216978238943,2,-0.1355705080191505
det_norm_low_25,block_4,ssd,0.00661690243910773,3,-0.03265041542067637,-0.025008096632871585,3,0.1613397452909504
det_norm_low_25,block_5,source,-0.07135407822820757,1,-0.06692673958061945,-0.10287412125566109,2,-0.10289197437567399
det_norm_low_25,block_5,target,0.005322005327193513,3,0.011719750733613088,-0.0753705149301583,1,-0.2584110388684113
det_norm_low_25,block_5,ssd,0.0020419150762673866,4,-0.026671944064310393,-0.02239434337038641,4,0.05112834371783226
det_norm_low_50,aggregate,source,-0.007272178546522771,3,-0.008826971423264718,-0.07445436485100838,1,0.009083733435766295
det_norm_low_50,aggregate,target,0.02601061113989463,3,0.01242863510870773,-0.04426099583563122,1,-0.04851868562683048
det_norm_low_50,aggregate,ssd,0.012578110294515313,5,-0.020478499372175718,-0.01958261850904854,3,-0.016357165692842957
det_norm_low_50,block_1,source,-0.0689817488121534,2,-0.157700932900956,-0.014661596037368607,3,0.0360209186966054
det_norm_low_50,block_1,target,0.063165961315322,5,0.06050051175073845,-0.030371147909013147,3,-0.007136096974424966
det_norm_low_50,block_1,ssd,0.020269981599894498,4,-0.00847011625399463,0.02484668527472274,4,-0.006182850301073017
det_norm_low_50,block_2,source,0.05785865932921297,5,0.06253346958222106,-0.020389753091967777,1,0.40043198300432903
det_norm_low_50,block_2,target,0.027212899133121266,4,-0.07788138826460012,-0.13483911328769915,1,0.10715262796704983
det_norm_low_50,block_2,ssd,0.16039106786538138,6,-0.019773345570661682,0.10501880986701721,3,-0.003567779345581279
det_norm_low_50,block_3,source,0.03546576847243965,3,-0.03672330941732471,0.019040097717231325,2,-0.08676997329760683
det_norm_low_50,block_3,target,-0.0031150185488918827,3,-0.03998051153701332,0.04773034533747852,3,0.05900334099351312
det_norm_low_50,block_3,ssd,0.039411149516472656,4,-0.009716154781452824,-0.04445552832343658,4,-0.0909975195002799
det_norm_low_50,block_4,source,-0.08110049653772174,2,0.16887774439706127,-0.10153811195350675,3,0.08049432905732345
det_norm_low_50,block_4,target,0.05598446515249859,4,0.03204372056446192,-0.04225343478461152,3,-0.1078467318452625
det_norm_low_50,block_4,ssd,0.035395719703231375,4,-0.026310681733948682,0.003770720631252056,3,0.1676794789776781
det_norm_low_50,block_5,source,-0.02399822028642436,3,-0.018895087706310987,-0.05551826331387788,3,-0.05486032250136552
det_norm_low_50,block_5,target,0.03717541011663735,5,0.08970988841497385,-0.043517110140714466,2,-0.18042090118705056
det_norm_low_50,block_5,ssd,-0.06788298514944409,3,-0.041431807386016484,-0.09231924359609789,0,0.03636848039612617
det_norm_low_75,aggregate,source,0.03195488431886976,3,0.007432435538423654,-0.035227301985615855,1,0.025343140397454667
det_norm_low_75,aggregate,target,0.06050498273995527,5,0.03033682310176755,-0.009766624235570584,3,-0.03061049763377066
det_norm_low_75,aggregate,ssd,0.02676502493363329,4,-0.003625020277675528,-0.005395703869930564,4,0.0004963134016572335
det_norm_low_75,block_1,source,-0.10950559814417542,1,-0.09851347336121696,-0.05518544536939063,3,0.09520837823634443
det_norm_low_75,block_1,target,0.08642518697598116,4,0.06870837899833893,-0.007111922248353997,4,0.0010717702731755097
