config,score,orientation,nominal_coverage,clean_coverage,corruption_coverage,clean_effective_phi3,clean_nonzero_phi_fraction,clean_latency_estimate_seconds,corruption_latency_estimate_seconds,promising_rule_met,source_macro_AP_delta_no_adapt,source_positive_conditions_no_adapt,source_clean_AP_delta_no_adapt,source_macro_AP_delta_full_hybrid,source_positive_conditions_full_hybrid,source_clean_AP_delta_full_hybrid,target_macro_AP_delta_no_adapt,target_positive_conditions_no_adapt,target_clean_AP_delta_no_adapt,target_macro_AP_delta_full_hybrid,target_positive_conditions_full_hybrid,target_clean_AP_delta_full_hybrid,ssd_macro_AP_delta_no_adapt,ssd_positive_conditions_no_adapt,ssd_clean_AP_delta_no_adapt,ssd_macro_AP_delta_full_hybrid,ssd_positive_conditions_full_hybrid,ssd_clean_AP_delta_full_hybrid,target_positive_blocks,ssd_positive_blocks
det_norm_high_75,det_norm,high,0.75,0.738,0.752,0.026915121162543073,0.738,0.2577990975624707,0.26151869792151167,False,0.012938425224700198,4,-0.04353201383588412,-0.05424376107978542,3,-0.025621308976853108,0.055980936731937304,5,0.04122274453044472,-0.014290670243588544,1,-0.01972457620509349,0.025279245873769302,5,0.019696408287711575,-0.006881482929794551,3,0.023817741967044337,4,4
det_norm_low_25,det_norm,low,0.25,0.262,0.248,0.009740333118475974,0.255,0.15557345394394362,0.15256208072339358,True,-0.017933959975488523,1,0.03532172265061084,-0.08511614627997414,1,0.053232427509641855,0.009479044320844418,4,0.0252956858558806,-0.060792562654681435,1,-0.03565163487965761,0.005217781020991352,3,-0.03503956076370829,-0.0269429477825725,1,-0.030918227084375527,5,4
det_norm_low_50,det_norm,low,0.5,0.523,0.49616666666666664,0.01889815826411359,0.516,0.21163332561697462,0.2059040743415147,False,-0.007272178546522771,3,-0.008826971423264718,-0.07445436485100838,1,0.009083733435766295,0.02601061113989463,3,0.01242863510870773,-0.04426099583563122,1,-0.04851868562683048,0.012578110294515313,5,-0.020478499372175718,-0.01958261850904854,3,-0.016357165692842957,4,4
det_norm_low_75,det_norm,low,0.75,0.774,0.746,0.027787685034563765,0.767,0.2654379543856776,0.25975979346168365,False,0.03195488431886976,3,0.007432435538423654,-0.035227301985615855,1,0.025343140397454667,0.06050498273995527,5,0.03033682310176755,-0.009766624235570584,3,-0.03061049763377066,0.02676502493363329,4,-0.003625020277675528,-0.005395703869930564,4,0.0004963134016572335,5,4
log_norm_ratio_high_25,log_norm_ratio,high,0.25,0.21,0.25666666666666665,0.005356956065399572,0.21,0.1446811198789801,0.15506074705921735,False,-0.03222252748870669,4,0.002069797054399247,-0.09940471379319231,3,0.01998050191343026,0.02845558255432275,5,-0.011792578333524872,-0.0418160244212031,1,-0.07273989906906309,-0.0007295968144536517,4,0.003910061084377858,-0.0328903256180175,2,0.00803139476371062,4,1
log_norm_ratio_high_50,log_norm_ratio,high,0.5,0.457,0.5071666666666667,0.013423882748698816,0.457,0.1976492654858157,0.2087833094679275,True,-0.017725650952811017,5,-0.004076915605499831,-0.08490783725729663,3,0.013833789253531181,0.032608516026230716,5,0.05173843978674153,-0.03766309094929513,1,-0.009208880948796683,0.01729523859596525,5,0.0422102557707027,-0.014865490207598605,3,0.04633158945003546,4,4
log_norm_ratio_high_75,log_norm_ratio,high,0.75,0.712,0.7563333333333333,0.023908800281817095,0.712,0.25226816745960967,0.26243913188911877,False,0.00399736131577455,5,0.008034666955669678,-0.06318482498871107,3,0.02594537181470069,0.04600625716571679,5,0.05272240944437234,-0.024265349809809062,0,-0.00822491129116587,0.01697516327059297,5,0.030907875071570223,-0.015185565532970883,3,0.035029208750902985,4,5
log_norm_ratio_low_25,log_norm_ratio,low,0.25,0.288,0.24366666666666667,0.012746653999201954,0.281,0.16110438404680463,0.1516416467557865,True,-0.005415446972455625,3,-0.023857912351998856,-0.07259763327694124,0,-0.005947207492967843,0.019447007733650972,5,0.005539907251317366,-0.05082459924187488,1,-0.05540741348422085,0.015026647131396545,3,-0.04912423741303684,-0.017134081672167307,1,-0.04500290373370408,4,4
log_norm_ratio_low_50,log_norm_ratio,low,0.5,0.543,0.49283333333333335,0.023231571532320233,0.536,0.21572328602059862,0.20529746917697775,False,0.017877396884272145,3,-0.028820174615329375,-0.04930478942021347,0,-0.010909469756298362,0.04043468706033948,5,0.02517049173170749,-0.02983691991518637,1,-0.035776829003830724,0.021613903840907167,3,-0.063513884077529,-0.010546824962656687,2,-0.05939255039819624,5,3
log_norm_ratio_low_75,log_norm_ratio,low,0.75,0.79,0.7433333333333333,0.031298498215619475,0.783,0.2686914316274342,0.2590200315856879,False,0.030864223605688485,3,-0.053532894732177816,-0.036317962698797134,0,-0.0356221898731468,0.055374110721696325,5,0.08782440191273944,-0.014897496253829523,3,0.026877081177201223,0.03472066405679717,5,0.011466764122936013,0.0025599352532333177,4,0.015588097802268774,5,3
