group,detector,variant,case,AP,AP50,AP75,AP_delta_no_adapt,AP50_delta_no_adapt,AP75_delta_no_adapt,AP_delta_global_generic,AP50_delta_global_generic,AP75_delta_global_generic,AP_delta_det_pseudo,AP50_delta_det_pseudo,AP75_delta_det_pseudo
aggregate,target,det_pseudo_clip_radius,contrast_s1,42.52087640082689,58.62732564465237,39.10203520352035,0.1800055005500567,1.3325082508250818,0.0,0.3120579915134425,0.45084865629420046,0.2917256011315428,0.0,0.0,0.0
aggregate,target,det_pseudo_clip_radius,contrast_s2,39.6463735816075,58.359501994975616,35.371287128712865,11.33207965221456,0.3768287276488813,12.520627062706263,10.162604222528731,-2.2660605612800144,12.56873231966053,1.2843593582071378,3.3913266060081493,5.442008486562938
aggregate,target,det_pseudo_clip_radius,color_cast_s1,46.91538618147529,63.500100010001006,45.92468175388967,-0.5661295509877429,-1.1712101442702405,-0.9925588832175092,0.5245622776563375,2.002968153958251,-0.4508486562941949,0.41797929792978805,0.024948146988612585,0.0
aggregate,target,det_pseudo_clip_radius,color_cast_s2,42.92491749174917,60.2035203520352,38.66886688668867,0.0063649222065031985,0.021216407355018063,0.0,0.15272738453969703,0.021216407355018063,0.254101497106235,1.3768564356435642,0.0,0.0
aggregate,target,det_pseudo_clip_radius,clean_s0,48.14855716340865,64.97630532283998,49.44444444444444,-0.340441736481345,0.01618431073877602,0.0,1.0835524486514592,-0.3649252287866056,4.510451045104514,2.76970677837014,0.01618431073877602,2.9290429042904242
aggregate,ssd,no_adapt,gamma_s1,23.074422442244224,48.63083451202263,16.707920792079207,0.0,0.0,0.0,-0.08618379695112255,-0.4944798051233712,0.0,-0.6162683301297184,0.9907820452374871,0.0
aggregate,ssd,no_adapt,gamma_s2,22.635680234690135,46.38338833883388,12.5,0.0,0.0,0.0,-0.46839803027921845,-1.088323118026091,0.0,-0.07425742574257432,-0.7425742574257432,0.0
aggregate,ssd,no_adapt,contrast_s1,11.277464085931138,36.59510662604722,4.36976389946687,0.0,0.0,0.0,0.20522629896562866,-0.7767109128495264,0.16184310738766167,-0.1843209639483756,0.03779980772352087,0.16184310738766167
aggregate,ssd,no_adapt,contrast_s2,21.82534872480383,42.999071074155474,12.5,0.0,0.0,0.0,-3.785677603392898,-10.49512233014736,0.0,0.5065918491162641,3.1338345505031118,-2.805280528052803
aggregate,ssd,no_adapt,color_cast_s1,38.2066325053558,61.85180360141278,41.584158415841586,0.0,0.0,0.0,0.038362376456119174,2.2964141001985072,-0.07939473192602464,12.031832882536369,13.049351927673985,24.876237623762375
