config,role,group,detector,case,AP,AP50,AP75,AP_delta_no_adapt,AP50_delta_no_adapt,AP75_delta_no_adapt,AP_delta_full_hybrid,AP50_delta_full_hybrid,AP75_delta_full_hybrid
random_2026091675,random,block_2,target,gamma_s1,44.63244896820417,63.44460070630154,48.816408577658365,0.12361566903805743,0.00727488127082454,0.19981944758795112,-0.12352430796293556,-0.035372803065347735,-0.14087623847386932
random_2026091675,random,block_2,target,gamma_s2,42.87495036453554,61.64210691922586,46.41537580447137,-0.0002330040988929305,0.06721041366861691,-0.19806056637883818,0.11611700908096823,0.27934539710093853,0.056901359105315796
random_2026091675,random,block_2,target,contrast_s1,44.649877437580635,63.073881703417776,48.64471200881789,-0.08704639595641384,0.026659332187739526,-0.013459316795744192,0.08107770061704378,0.030996266363103597,0.057663623729564684
random_2026091675,random,block_2,target,contrast_s2,39.20256571881417,56.422387581000535,41.91848693595786,0.35508005702026835,0.4120196685949318,0.10700045359497978,-0.5399512720537902,-0.7868124134947085,-0.7043161577127977
random_2026091675,random,block_2,target,color_cast_s1,43.75468680368698,62.110600122172755,47.110581795420366,-0.01695178994243207,-0.018687422387086983,-0.08687504436244997,-0.05227824565773864,0.0018399669240332095,0.18791981844875627
random_2026091675,random,block_2,target,color_cast_s2,42.47711207302547,62.268480570586846,45.80972354917001,0.09990875978268532,0.15858873186874733,0.08681096925324816,0.02062033729480217,0.04569155818585635,0.15118776074182771
random_2026091675,random,block_2,target,clean_s0,45.56730243541606,63.8474417963853,49.4014445521033,-0.03816876097028632,-0.03650823440896067,0.27041761297852407,0.14686525526136363,0.25919185443342707,0.4468257031684131
random_2026091675,random,block_2,ssd,gamma_s1,29.181942247816167,47.84668823102934,31.31072345276608,0.1488120166753537,0.16046233738237214,0.5055152735408575,-0.049610822773699104,0.002972497269931873,-0.0990186781351432
random_2026091675,random,block_2,ssd,gamma_s2,27.795182849390766,46.47562296866633,29.416104610032363,-0.034509619953565496,-0.09594032301846744,-0.08368206187510663,0.011904262304157642,0.1020504399461386,0.050326491815200214
random_2026091675,random,block_2,ssd,contrast_s1,29.31927408139786,48.24254756603942,30.90873751731405,-0.14096471330151128,-0.0480452405835774,0.025418927701936767,-0.10373685365601681,0.12569559645858042,0.06098421422185418
random_2026091675,random,block_2,ssd,contrast_s2,27.799579429976006,46.10776495224366,28.552440849887894,0.1529478567752096,-0.10667183407974679,0.0467657936488175,0.14449323618119791,0.06309273273476523,0.34843407585363195
random_2026091675,random,block_2,ssd,color_cast_s1,29.42181761508913,47.785545585692695,30.364382834674224,0.015121803513507004,-0.025137573531280877,-0.02964630725962869,-0.1626330643937801,-0.07775657760351051,-0.05963803097073228
random_2026091675,random,block_2,ssd,color_cast_s2,29.177813613838687,47.85294880751427,30.570824104799804,0.015250643955505572,0.0805544697253413,-0.07090845637439114,-0.015992317987545412,-0.055116565020241204,-0.0800345661330637
random_2026091675,random,block_2,ssd,clean_s0,29.931313083091542,48.696366524391465,31.879366740306946,-0.019739054030254444,-0.019440850004526222,-0.040951900460683976,-0.0035334878051740404,-0.031054521283574443,0.10122617584946703
random_2026091675,random,block_3,source,gamma_s1,39.67410391750567,61.41449255213005,43.27293948775533,0.4066160558968801,0.9916444314787887,0.4509305352887294,0.04992791456596701,0.19018548884575104,0.025261372711449237
random_2026091675,random,block_3,source,gamma_s2,37.429180395547476,58.391392217444746,40.24261222833801,-0.23048388947655707,-0.01982799965156712,-1.2808868712625432,0.16028473006849953,0.49565983096641064,0.6262375975312873
random_2026091675,random,block_3,source,contrast_s1,39.3173962122254,60.01558164089585,42.9549613470542,-0.2806568266274678,-0.22692916514369665,-0.7844217577825663,0.01785735683818568,-0.21475495370586462,-0.18921486291766376
