config,role,group,detector,macro_AP_delta_no_adapt,clean_AP_delta_no_adapt,macro_AP50_delta_no_adapt,clean_AP50_delta_no_adapt,macro_AP75_delta_no_adapt,clean_AP75_delta_no_adapt,positive_conditions_no_adapt,macro_AP_delta_full_hybrid,clean_AP_delta_full_hybrid,macro_AP50_delta_full_hybrid,clean_AP50_delta_full_hybrid,macro_AP75_delta_full_hybrid,clean_AP75_delta_full_hybrid,positive_conditions_full_hybrid
random_2026091624,random,aggregate,source,0.004428715323113545,0.020501561147545644,-0.015400397245102226,-0.014186813602623527,0.12234607532109847,0.07986998000852896,4,-0.06275347098137207,0.038412266006576656,-0.12244783239418096,0.08724439554742558,-0.10507417538996126,0.13970416418815912,2
random_2026091624,random,aggregate,target,0.034375944613980934,-0.0017515832330283754,0.02245494352005976,-0.025109495281305794,0.08425223666377694,0.04343362936994888,4,-0.03589566236154492,-0.06269890396856659,-0.05582553942429236,-0.06516581363017471,0.004107810896351409,-0.20399139301223723,1
random_2026091624,random,aggregate,ssd,0.004875789503576422,-0.009368883563129482,0.0010755622686708932,-0.020624660280410545,-0.002705682913327808,-0.044423201413335,3,-0.027284939299987432,-0.0052475498837967205,-0.07776950066125388,0.030762562871100574,0.04474575221886148,-0.037489414260782894,1
random_2026091624,random,block_1,source,-0.06683500575913603,0.016850667340873038,0.016852111744817638,-0.01917013269017165,-0.3122958181521159,0.7604648167311934,2,-0.012514852984351251,0.21057251893843443,0.004101904549600836,0.22308018142447317,-0.0024815304543078045,0.638472834887871,2
random_2026091624,random,block_1,target,0.08297829361058791,0.11180705389110535,0.08229993613315482,-0.023000802016703847,-0.029917904302612097,0.33448584125027603,4,-0.010558815613747238,0.04417044516594193,-0.050434267029353386,0.01928571167794102,0.042855805990901774,-0.1423745307361335,2
random_2026091624,random,block_1,ssd,-0.038562715929179224,0.061688732528814016,-0.039835598650657854,0.08720898215490158,0.00864468303146034,0.07143188138221679,2,-0.033986012254350974,0.06397599848173563,-0.14673469718332702,0.14380085904671658,-0.07197070764043689,0.037945070621636656,3
random_2026091624,random,block_2,source,0.08793381802730445,-0.16111486889850424,-0.026760650873267993,-0.09464927336043649,0.25124817215319284,0.03965537445916323,5,0.009685405606123706,0.17678364452360373,0.11097475011539275,0.0949077178266644,-0.00603616394772762,0.40186410871130285,2
random_2026091624,random,block_2,target,0.02207495449167614,-0.0004690038273580388,-0.040374701467277285,-0.21717592993033552,0.06723605442257956,0.1610909419988038,5,-0.13997705792914428,0.1845650124042919,-0.2266043069989269,0.07852415891205222,-0.013889908420811984,0.3374990321886928,2
random_2026091624,random,block_2,ssd,0.027685552107560112,-0.033150665733439055,-0.08132957512582233,-0.052447246293235716,-0.009465416031322524,-0.11952494309650508,4,-0.027686705890804058,-0.016945099508358652,-0.048710193810651746,-0.06406091757228394,-0.03820035981977887,0.022653133213645926,2
random_2026091624,random,block_3,source,0.0491503593221763,0.11751727748138263,0.10769355488095915,-0.04478846119849722,-0.1624165081805314,-0.09143377486007798,3,0.032724688566967974,0.06747061360110052,0.05819550714956101,0.004063896835038161,0.09659749439104859,0.12242587582678155,4
random_2026091624,random,block_3,target,0.007129435619942133,-0.02268012392430685,-0.0675154651379332,0.03932423981762856,-0.0467667338850869,0.32878196005469706,3,0.057974799506312534,0.07630372860621959,-0.07968966921678144,-0.07774605499318854,-0.062447829045221094,-0.4871020166345219,3
random_2026091624,random,block_3,ssd,0.019070080175580723,0.083402421230383,0.07599940721332114,0.04780126793624828,0.007067553238445286,0.01657246387949396,4,-0.0647965976643285,0.002121056511555919,-0.11266347532461012,-0.041202376284776854,0.06632453386386424,-0.031595837956921446,1
random_2026091624,random,block_4,source,0.05893776890768624,0.04329478408026666,-0.011626048829796454,0.3635285181054604,0.366241376384969,0.06487821528533,4,0.038500153491901244,-0.04508863125947116,0.027432341707760616,0.22928983622795274,-0.028537584111387737,-0.13077679104836482,4
random_2026091624,random,block_4,target,0.08480995821428343,-0.024258534595489323,0.030902515102884665,0.09235742358355559,0.25040505584904377,-0.685172185685784,4,-0.013427941722826686,-0.16414898700521374,0.050286977790627484,-0.05060748927792069,0.04642789464972726,-0.2953995419272937,2
random_2026091624,random,block_4,ssd,0.006591576832539377,-0.0027679385630918762,0.014934005100603978,-0.026248581697063678,0.08603406063814462,-0.1206308270912726,3,-0.02503342223943994,0.1912222221485349,-0.04073192097704218,0.14096496539196535,-0.008749635101221639,0.13421461119668687,2
random_2026091624,random,block_5,source,0.03563728937564422,-0.02128897919711492,-0.03724578546664229,-0.1865339940494981,0.07064511217199088,-0.19103884094598955,4,0.004117246348190699,-0.057254213992169456,-0.050306414913412846,-0.05186691188269199,0.09313493508376162,-0.22689965203078755,4
random_2026091624,random,block_5,target,-0.009642257145151914,0.21839134692879236,0.012936778672878457,0.020234596933499382,0.01694068505046868,0.19191606909501058,1,-0.09033477740250373,-0.05173944267323205,-0.04730530523085289,-0.21440753730601614,-0.09520825099890533,-0.3786714531634372,0
random_2026091624,random,block_5,ssd,0.015411896418203916,-0.15121803565174008,0.1108086615755723,-0.2231241405320772,-0.13961144806607004,-0.01930453782530428,4,-0.00902436202844988,-0.07341774786959743,-0.008405322937933094,0.16913547855784694,0.11472325862906067,-0.15370956848394512,4
