config,role,seed,clean_coverage,corruption_coverage,clean_effective_phi3,clean_nonzero_phi_fraction,clean_latency_estimate_seconds,corruption_latency_estimate_seconds,target_positive_blocks,ssd_positive_blocks,source_macro_AP_delta_no_adapt,source_clean_AP_delta_no_adapt,source_macro_AP50_delta_no_adapt,source_clean_AP50_delta_no_adapt,source_macro_AP75_delta_no_adapt,source_clean_AP75_delta_no_adapt,source_positive_conditions_no_adapt,source_macro_AP_delta_full_hybrid,source_clean_AP_delta_full_hybrid,source_macro_AP50_delta_full_hybrid,source_clean_AP50_delta_full_hybrid,source_macro_AP75_delta_full_hybrid,source_clean_AP75_delta_full_hybrid,source_positive_conditions_full_hybrid,target_macro_AP_delta_no_adapt,target_clean_AP_delta_no_adapt,target_macro_AP50_delta_no_adapt,target_clean_AP50_delta_no_adapt,target_macro_AP75_delta_no_adapt,target_clean_AP75_delta_no_adapt,target_positive_conditions_no_adapt,target_macro_AP_delta_full_hybrid,target_clean_AP_delta_full_hybrid,target_macro_AP50_delta_full_hybrid,target_clean_AP50_delta_full_hybrid,target_macro_AP75_delta_full_hybrid,target_clean_AP75_delta_full_hybrid,target_positive_conditions_full_hybrid,ssd_macro_AP_delta_no_adapt,ssd_clean_AP_delta_no_adapt,ssd_macro_AP50_delta_no_adapt,ssd_clean_AP50_delta_no_adapt,ssd_macro_AP75_delta_no_adapt,ssd_clean_AP75_delta_no_adapt,ssd_positive_conditions_no_adapt,ssd_macro_AP_delta_full_hybrid,ssd_clean_AP_delta_full_hybrid,ssd_macro_AP50_delta_full_hybrid,ssd_clean_AP50_delta_full_hybrid,ssd_macro_AP75_delta_full_hybrid,ssd_clean_AP75_delta_full_hybrid,ssd_positive_conditions_full_hybrid,R012_rule_met
random_2026091607,random,2026091607,0.497,0.5005,0.01766483309189789,0.492,0.1695032575027435,0.1714432083243155,3,4,0.028718540278260818,0.003176684043459943,0.07147680246652281,-0.05662310738379084,0.03338566164298636,-0.162322208360427,3,-0.0384636460262248,0.021087388902490956,-0.035570632682555926,0.04480810176625827,-0.19403458906807336,-0.10248802418079683,0,0.021250238002551436,0.09659830862799312,0.045447105004864374,0.12084219901624671,-0.02857831008771239,0.23566943976885968,4,-0.04902136897297441,0.03565098789245491,-0.03283337793948774,0.0807858806673778,-0.10872273585513792,-0.011755582613326432,1,0.023037762994562727,-0.016212594050576956,0.0590540087277408,-0.06094227032676924,0.004238578359012923,-0.04892217130586518,5,-0.009122965809001127,-0.012091260371244195,-0.019791054202183966,-0.009555047175258125,0.051690013491202204,-0.041988384153313074,3,False
random_2026091608,random,2026091608,0.497,0.5005,0.019007534670410678,0.494,0.16974700723885325,0.17142013995646752,4,4,0.06670144701713214,-0.025716007068821156,0.08232757658476753,-0.16364502125255642,0.29146993685847206,0.08196650110328108,4,-0.00048073928735348215,-0.007805302209790144,-0.02471985856431121,-0.062213812102507315,0.06404968614741231,0.14180068528291123,3,0.043153820193589376,0.04766204563077525,0.05262387856113104,0.054982991451757446,0.036618435815413686,0.15479834885118726,5,-0.027117786781936475,-0.013285275104762961,-0.025656604383221076,0.014926673102888532,-0.043525989952011845,-0.09262667353099885,1,0.012297064220910073,-0.016418852051203192,0.01677738070037978,-0.023163381182900178,0.016267387711621506,-0.03884929286716576,4,-0.01986366458265378,-0.01229751837187043,-0.062067682229544986,0.02822384196861094,0.0637188228438108,-0.03191550571461366,2,True
random_2026091609,random,2026091609,0.497,0.5005,0.018981425585690884,0.492,0.16993630266044055,0.17122041784310324,4,5,0.014490593333614058,-0.06996007168691976,0.10608229269918334,-0.09919495319754557,-0.05753016037988353,0.07119900634202647,3,-0.05269159297087156,-0.05204936682788874,-0.0009651424498953917,0.002236255952503541,-0.28495041109094327,0.13103319052165663,0,0.03614026392941468,0.09535363711074551,0.03705150360290658,0.05148250214173089,0.11546636987565066,0.13900509775368053,5,-0.03413134304611117,0.0344063163752073,-0.04122897934144554,0.011426183792861977,0.035321944108225124,-0.10841992462850558,1,0.012470457665151221,0.03643295145153158,0.026012113124116814,-0.031176831235046887,-0.0016025044476314365,0.043925962740193336,5,-0.019690271138412634,0.04055428513086434,-0.05283294980580796,0.020210391916464232,0.045848930684557844,0.05085974989274544,2,True
random_2026091610,random,2026091610,0.497,0.5005,0.017562206354690715,0.491,0.17053163357588347,0.17123510127533517,4,4,0.03916810196369728,-0.04065916115468249,0.016925936101140165,-0.0621569943642708,0.22882374206888065,-0.059286048485002185,4,-0.028014084340788337,-0.022748456295651476,-0.09012149904793858,0.039274214785778305,0.0014034913578209185,0.0005481356946279714,2,0.03884792680035609,0.0796093629701844,0.05591596099333018,0.06545079781379304,0.03270595744037282,0.1198325376042364,5,-0.031423680175169756,0.01866204223464618,-0.022364521951021937,0.025394479464924125,-0.04743846832705271,-0.1275924847779497,1,0.018601399270625856,0.007603438695230613,0.04787684662203676,-0.023967087559301214,-0.014471085944941139,0.034443389044103156,4,-0.013559329532938,0.011724772374563375,-0.030968216307888003,0.027420135592209904,0.03298034918724815,0.04137717619665526,3,True
random_2026091611,random,2026091611,0.497,0.5005,0.0180068072155118,0.492,0.16940129021892789,0.17127695500269086,4,4,0.04787404368004344,-0.05627647506361577,0.09728491809715134,-0.1381241066521266,0.233921193040638,0.017454660299126568,5,-0.019308142624442175,-0.03836577020458476,-0.009762517051927396,-0.03669289750207749,0.006500942329578281,0.07728884447875672,2,0.05353674083552843,-0.05385417356584821,0.06282471881828659,-0.02703662640631821,0.04288069797162194,0.027002165760176,5,-0.016734866139997417,-0.11480149430138642,-0.01545576412606553,-0.06709294475518712,-0.03726372779580359,-0.2204228566220101,2,0.02869605367600281,-0.02154623723495952,0.07971970096535552,-0.04535151785703406,0.005269831614090892,-0.03514621273938423,5,-0.0034646751275610455,-0.01742490355562676,0.0008746380354307526,0.006035705294477056,0.05272126674628017,-0.028212425586832124,3,True
random_2026091612,random,2026091612,0.497,0.5005,0.018526337262475864,0.494,0.17081201525119832,0.1711686369427383,4,3,0.05490144648996701,-0.010623251984720472,0.04442952021636026,-0.03165278899709412,0.2507198292182433,-0.026660033869074784,6,-0.012280739814518604,0.0072874528743105405,-0.06261791493271847,0.06977842015295499,0.0232995785071836,0.03317415031055537,2,0.05086089439625593,0.06684822411584523,0.049178488028345235,0.036878658907213424,0.07407813258105873,0.14003757145524265,6,-0.019410712579269924,0.005900903380307021,-0.029101994916006884,-0.0031776594416554893,-0.006066293186366793,-0.10738745092694346,2,0.020402464844412882,-0.0292512630395092,0.02782452219518931,-0.04594686535788761,-0.005894915967070517,-0.049804330887809334,2,-0.011758263959150972,-0.02512992936017644,-0.05102054073473546,0.005440357793623507,0.041556519165118766,-0.04287054373525723,2,False
random_2026091613,random,2026091613,0.497,0.5005,0.017882706117350607,0.492,0.16959468289482174,0.1711356953468979,4,3,-0.0353010953948768,0.04206256012534437,-0.06221088656368501,-0.03790846946614135,-0.10453457368057122,-0.0011004450286400402,3,-0.10248328169936242,0.059973264984375385,-0.16925832171276375,0.06352273968390776,-0.33195482439163093,0.058733739150990116,1,0.011861847166845055,0.04334612390501924,0.025325756606477585,0.03475827740575532,0.03777165295950994,0.12316850645751054,4,-0.058409759808680795,-0.017601196830518973,-0.052954726337874534,-0.005298040943113591,-0.04237277280791559,-0.12425651592467557,1,0.00405775721062281,-0.03073886508194179,0.021938909659941868,-0.03900465363006478,-0.02120408956625362,0.028119346785232535,2,-0.028102971592941044,-0.02661753140260903,-0.056906153269982905,0.01238256952144634,0.026247345565935665,0.03505313393778464,2,False
random_2026091614,random,2026091614,0.497,0.5005,0.018281048781704157,0.494,0.16970549966194085,0.17108327481271407,4,4,-0.05163336621117065,-0.0996803485877662,-0.08399842611197157,-0.12850939806055006,-0.07638976703502609,-0.26797460244143423,2,-0.11881555251565627,-0.08176964372873519,-0.1910458612610503,-0.027078188910500955,-0.3038100177460858,-0.20814041826180407,0,0.02129057813396451,-0.036209783017887576,0.0059822741630558935,-0.06387519457194957,0.04402068823842845,0.05509542289961478,3,-0.04898102884156134,-0.09715710375342579,-0.07229820878129622,-0.10393151292081848,-0.03612373752899708,-0.19232959948257133,1,0.006239105079504832,-0.020498009076322377,0.010396752676916643,-0.03374643426231061,-0.019207313268486403,0.01184815451289456,3,-0.025921623724059022,-0.016376675396989615,-0.06844831025300813,0.01764078888920051,0.02824412186370288,0.018781941665446666,1,True
random_2026091615,random,2026091615,0.497,0.5005,0.018535103247966617,0.493,0.1699211134427751,0.17136218086853236,4,4,0.04355383402634231,0.00773357997074231,0.10866649976891685,-0.0008173184882331874,0.06488637500687659,0.03909198629502564,4,-0.023628352278143305,0.025644284829773323,0.0016190646198381102,0.10061389066181592,-0.16253387570418312,0.0989261704746558,1,0.04617827617937609,0.056820339448082624,0.06581994129759201,0.004132765763009694,0.06697491718885377,0.13962755175621622,5,-0.024093330796149764,-0.004126981287455589,-0.0124605416467601,-0.03592355258585922,-0.013169508578571762,-0.1077974706259699,2,0.015504845659107999,0.0397155415524153,0.028345539710218175,0.009523431221380996,-0.02489319595576032,0.05348995428873238,4,-0.016655883144455857,0.04383687523174806,-0.0504995232197066,0.060910654372892115,0.022558239176428962,0.060423741441284484,3,True
random_2026091616,random,2026091616,0.497,0.5005,0.018305707528488712,0.495,0.17015148526782287,0.1715064468717028,4,4,-0.029843284912132544,-0.021062352890049985,-0.05484265591986781,-0.0830219593207393,0.0826464804055312,-0.024267599566485387,3,-0.09702547121661816,-0.003151648031018972,-0.16189009106894656,0.018409249829309804,-0.14477377030552852,0.03556658461314477,2,0.04593241671050352,0.04123019697986341,0.06557175238014468,0.07921078846310214,0.06710601428503622,-0.025357501887696143,5,-0.02433919026502233,-0.019717123755674804,-0.01270873056420744,0.03915447011423323,-0.013038411482389304,-0.27278252426988225,1,0.01525745396139394,0.029473144062361345,0.06426938423723383,-0.014283776447521213,-0.06940791712483167,-0.029972006121653516,4,-0.016903274842169913,0.033594477741694106,-0.014575678692690941,0.037103446703989906,-0.021956481992642385,-0.02303821896910141,2,True
random_2026091617,random,2026091617,0.497,0.5005,0.018215325220720842,0.495,0.1696846734530409,0.17143289376803053,5,3,0.021540147237656775,-0.04396479477456472,0.015227613608379912,-0.08658545676640816,0.0050927147864504585,0.006046029447426271,4,-0.04564203906682884,-0.026054089915533707,-0.09181982154069883,0.014845752383640942,-0.22232753592460927,0.06588021362705643,2,0.04829495486669555,0.015301832843095386,0.021972736770583163,-0.029404948578293233,0.09725952168872416,0.30038786955696173,5,-0.0219766521088303,-0.045645487892442826,-0.056307746173768956,-0.06946126692716215,0.017115095921298635,0.05296284717477562,2,0.0008334107190680987,0.03732942384040705,0.020735807725720073,-0.028921361970973836,-0.04420777645061935,0.05031625245218163,4,-0.03132731808449576,0.04145075751973981,-0.0581092552042047,0.022465861180537283,0.003243658681569931,0.05725003960473374,1,False
random_2026091618,random,2026091618,0.497,0.5005,0.018123563091270625,0.495,0.16950771513479412,0.17158408735953465,3,3,0.043891179126243074,-0.007236004791560946,0.07390910387385004,-0.04185336512123605,0.005517026165641203,-0.00916052194961936,5,-0.023291007178242545,0.010674700067470067,-0.033138331275228694,0.059577844028813054,-0.22190322454541853,0.050673662230010796,1,0.02675289314088188,0.012332254460284409,0.03090969841140212,-0.006443815491952165,0.0702034161097533,0.01902842010693684,5,-0.04351871383464397,-0.048615066275253804,-0.047370784532949996,-0.04650013384082108,-0.009941009657672232,-0.22839660227524927,1,0.019590712837123474,-0.008896333422989122,0.031248566618582996,-0.0650377765176513,-0.03561160173059472,0.05757410488225201,5,-0.012570015966440381,-0.004774999743656361,-0.047596496311341774,-0.013650553366140183,0.011839833401594557,0.06450789203480412,3,False
