config,group,detector,macro_AP_delta_no_adapt,positive_conditions_no_adapt,clean_AP_delta_no_adapt,macro_AP_delta_full_hybrid,positive_conditions_full_hybrid,clean_AP_delta_full_hybrid
clip_norm_low_50,aggregate,source,-0.13898711299701189,1,-0.8415841584158396,0.19640758718728982,2,-0.7276040104010367
clip_norm_low_50,aggregate,target,1.906061737126093,3,-0.4084158415841588,0.09798505458043227,2,-0.06797410510281376
clip_norm_low_50,aggregate,ssd,-2.0903324509432966,0,0.0,0.0986670771162726,3,0.1649755546274223
clip_norm_low_50,block_1,source,-0.10058148672010063,0,0.0,0.3929227979188907,2,-1.4552080208020817
clip_norm_low_50,block_1,target,0.06212347425218756,2,0.0,0.19521172680059098,2,-0.1396961558504023
clip_norm_low_50,block_1,ssd,0.010896495632469033,1,0.0,0.19733415423254327,3,0.329951109254846
clip_norm_low_50,block_2,source,-0.17739273927392704,1,-1.6831683168316847,0.0,0,0.0
clip_norm_low_50,block_2,target,3.7499999999999987,1,-0.8168316831683176,0.0,0,0.0
clip_norm_low_50,block_2,ssd,-4.191561397519061,0,0.0,0.0,0,0.0
clip_norm_low_75,aggregate,source,-0.11077223793807776,1,-0.8415841584158396,0.22462246224622395,2,-0.7276040104010367
clip_norm_low_75,aggregate,target,1.9187833951801458,3,-0.4084158415841588,0.11070671263448499,2,-0.06797410510281376
clip_norm_low_75,aggregate,ssd,-2.0965590246107273,0,0.0,0.09244050344884153,2,0.1649755546274223
clip_norm_low_75,block_1,source,-0.04415173660223191,1,0.0,0.44935254803675945,2,-1.4552080208020817
clip_norm_low_75,block_1,target,0.09079464494068518,3,0.0,0.22388289748908863,2,-0.1396961558504023
clip_norm_low_75,block_1,ssd,-0.001556651702391947,1,0.0,0.18488100689768228,2,0.329951109254846
clip_norm_low_75,block_2,source,-0.17739273927392704,1,-1.6831683168316847,0.0,0,0.0
clip_norm_low_75,block_2,target,3.7499999999999987,1,-0.8168316831683176,0.0,0,0.0
clip_norm_low_75,block_2,ssd,-4.191561397519061,0,0.0,0.0,0,0.0
det_norm_high_25,aggregate,source,0.40016501650165104,1,0.0,0.7355597166859527,4,0.11398014801480283
det_norm_high_25,aggregate,target,1.8749999999999998,1,0.0,0.06692331745433895,2,0.340441736481345
det_norm_high_25,aggregate,ssd,-2.081270627062706,0,0.0,0.10772890099686276,4,0.1649755546274223
det_norm_high_25,block_1,source,0.0,0,0.0,0.49350428463899126,3,-1.4552080208020817
det_norm_high_25,block_1,target,0.0,0,0.0,0.13308825254840342,2,-0.1396961558504023
det_norm_high_25,block_1,ssd,0.0,0,0.0,0.18643765860007425,3,0.329951109254846
det_norm_high_25,block_2,source,0.8003300330033002,1,0.0,0.9777227722772271,1,1.6831683168316847
det_norm_high_25,block_2,target,3.7499999999999987,1,0.0,0.0,0,0.8168316831683176
det_norm_high_25,block_2,ssd,-4.162541254125411,0,0.0,0.029020143393649705,1,0.0
det_norm_high_50,aggregate,source,-0.2098459845984576,1,0.7276040104010395,0.12554871558584416,2,0.8415841584158423
det_norm_high_50,aggregate,target,1.780645074835376,1,0.06797410510281376,-0.027431607710284855,1,0.4084158415841588
det_norm_high_50,aggregate,ssd,-2.1332143920035422,0,-0.1649755546274223,0.05578513605602695,2,0.0
det_norm_high_50,block_1,source,-0.2422992299229927,0,1.4552080208020817,0.2512050547159986,2,0.0
det_norm_high_50,block_1,target,-0.18840271828714042,0,0.1396961558504023,-0.05531446573873699,1,0.0
det_norm_high_50,block_1,ssd,-0.07486738648802248,0,-0.329951109254846,0.11157027211205177,2,0.0
det_norm_high_50,block_2,source,-0.17739273927392704,1,0.0,0.0,0,1.6831683168316847
det_norm_high_50,block_2,target,3.7499999999999987,1,0.0,0.0,0,0.8168316831683176
det_norm_high_50,block_2,ssd,-4.191561397519061,0,0.0,0.0,0,0.0
det_norm_high_75,aggregate,source,-0.11208620862085965,2,-0.11398014801480283,0.2233084915634421,2,0.0
det_norm_high_75,aggregate,target,1.7575205932896,1,-0.340441736481345,-0.05055608925606062,0,0.0
det_norm_high_75,aggregate,ssd,-2.1325268232466663,1,-0.1649755546274223,0.05647270481290249,2,0.0
det_norm_high_75,block_1,source,-0.0435918591859192,1,1.4552080208020817,0.44991242545307214,2,0.0
det_norm_high_75,block_1,target,-0.23527169957508987,0,0.1396961558504023,-0.1021834470266864,0,0.0
det_norm_high_75,block_1,ssd,-0.07349224897427088,1,-0.329951109254846,0.11294540962580335,2,0.0
det_norm_high_75,block_2,source,-0.17739273927392704,1,-1.6831683168316847,0.0,0,0.0
det_norm_high_75,block_2,target,3.7499999999999987,1,-0.8168316831683176,0.0,0,0.0
det_norm_high_75,block_2,ssd,-4.191561397519061,0,0.0,0.0,0,0.0
det_norm_low_25,aggregate,source,-0.022075868301115836,1,0.0,0.31331883188318593,3,0.11398014801480283
det_norm_low_25,aggregate,target,0.0447416791618536,3,0.0,-1.7633350033838073,2,0.340441736481345
det_norm_low_25,aggregate,ssd,-0.0007783258511963783,1,0.0,2.1882212022083727,3,0.1649755546274223
det_norm_low_25,block_1,source,-0.04415173660223191,1,0.0,0.44935254803675945,2,-1.4552080208020817
det_norm_low_25,block_1,target,0.09079464494068518,3,0.0,0.22388289748908863,2,-0.1396961558504023
det_norm_low_25,block_1,ssd,-0.001556651702391947,1,0.0,0.18488100689768228,2,0.329951109254846
det_norm_low_25,block_2,source,0.0,0,0.0,0.17739273927392704,2,1.6831683168316847
det_norm_low_25,block_2,target,0.0,0,0.0,-3.7499999999999987,0,0.8168316831683176
det_norm_low_25,block_2,ssd,0.0,0,0.0,4.191561397519061,2,0.0
det_norm_low_50,aggregate,source,-0.12554871558584416,2,-0.8415841584158396,0.2098459845984576,2,-0.7276040104010367
det_norm_low_50,aggregate,target,0.027431607710284855,4,-0.4084158415841588,-1.780645074835376,1,-0.06797410510281376
det_norm_low_50,aggregate,ssd,-0.05578513605602695,2,0.0,2.1332143920035422,2,0.1649755546274223
det_norm_low_50,block_1,source,-0.2512050547159986,2,0.0,0.2422992299229927,1,-1.4552080208020817
