config,score,orientation,nominal_coverage,clean_coverage,corruption_coverage,clean_effective_phi3,clean_nonzero_phi_fraction,clean_latency_estimate_seconds,corruption_latency_estimate_seconds,promising_rule_met,source_macro_AP_delta_no_adapt,source_positive_conditions_no_adapt,source_clean_AP_delta_no_adapt,source_macro_AP_delta_full_hybrid,source_positive_conditions_full_hybrid,source_clean_AP_delta_full_hybrid,target_macro_AP_delta_no_adapt,target_positive_conditions_no_adapt,target_clean_AP_delta_no_adapt,target_macro_AP_delta_full_hybrid,target_positive_conditions_full_hybrid,target_clean_AP_delta_full_hybrid,ssd_macro_AP_delta_no_adapt,ssd_positive_conditions_no_adapt,ssd_clean_AP_delta_no_adapt,ssd_macro_AP_delta_full_hybrid,ssd_positive_conditions_full_hybrid,ssd_clean_AP_delta_full_hybrid,target_positive_blocks,ssd_positive_blocks
det_norm_high_75,det_norm,high,0.75,1.0,0.6666666666666666,0.028837466146796942,1.0,0.3149545664928155,0.26100230799784185,,-0.11208620862085965,2,-0.11398014801480283,0.2233084915634421,2,0.0,1.7575205932896,1,-0.340441736481345,-0.05055608925606062,0,0.0,-2.1325268232466663,1,-0.1649755546274223,0.05647270481290249,2,0.0,1,0
det_norm_low_25,det_norm,low,0.25,0.0,0.25,0.0,0.0,0.09914033849781845,0.16795404141642697,,-0.022075868301115836,1,0.0,0.31331883188318593,3,0.11398014801480283,0.0447416791618536,3,0.0,-1.7633350033838073,2,0.340441736481345,-0.0007783258511963783,1,0.0,2.1882212022083727,3,0.1649755546274223,1,0
det_norm_low_50,det_norm,low,0.5,0.5,0.5,0.005644868593662977,0.5,0.2091245934861945,0.2208311858291078,,-0.12554871558584416,2,-0.8415841584158396,0.2098459845984576,2,-0.7276040104010367,0.027431607710284855,4,-0.4084158415841588,-1.780645074835376,1,-0.06797410510281376,-0.05578513605602695,2,0.0,2.1332143920035422,2,0.1649755546274223,1,0
det_norm_low_75,det_norm,low,0.75,1.0,0.6666666666666666,0.028837466146796942,1.0,0.3149545664928155,0.25717215483018663,,-0.7355597166859527,2,-0.11398014801480283,-0.40016501650165104,1,0.0,-0.06692331745433895,4,-0.340441736481345,-1.8749999999999998,0,0.0,-0.10772890099686276,1,-0.1649755546274223,2.081270627062706,1,0.0,0,0
log_norm_ratio_high_25,log_norm_ratio,high,0.25,0.0,0.25,0.0,0.0,0.09914033849781845,0.1735652844993941,,0.40016501650165104,1,0.0,0.7355597166859527,4,0.11398014801480283,1.8749999999999998,1,0.0,0.06692331745433895,2,0.340441736481345,-2.081270627062706,0,0.0,0.10772890099686276,4,0.1649755546274223,1,0
log_norm_ratio_high_50,log_norm_ratio,high,0.5,0.5,0.5,0.005644868593662977,0.5,0.2091245934861945,0.22029291299744122,,-0.13898711299701189,1,-0.8415841584158396,0.19640758718728982,2,-0.7276040104010367,1.8760608203677502,2,-0.4084158415841588,0.0679841378220895,2,-0.06797410510281376,-2.095780698759531,0,0.0,0.0932188293000379,3,0.1649755546274223,2,0
log_norm_ratio_high_75,log_norm_ratio,high,0.75,1.0,0.6666666666666666,0.028837466146796942,1.0,0.3149545664928155,0.2561891435810442,,-0.26013672795850756,1,-0.11398014801480283,0.07525797222579418,1,0.0,1.811706811961469,3,-0.340441736481345,0.003630129415808462,1,0.0,-2.1277661441873073,0,-0.1649755546274223,0.06123338387226165,2,0.0,1,0
log_norm_ratio_low_25,log_norm_ratio,low,0.25,0.0,0.25,0.0,0.0,0.09914033849781845,0.17179255732965734,,-0.07525797222579418,2,0.0,0.26013672795850756,3,0.11398014801480283,-0.003630129415808462,2,0.0,-1.811706811961469,1,0.340441736481345,-0.06123338387226165,1,0.0,2.1277661441873073,2,0.1649755546274223,0,0
log_norm_ratio_low_50,log_norm_ratio,low,0.5,0.5,0.5,0.023192597553133965,0.5,0.20497031150443945,0.2258297139972759,,-0.19640758718728982,2,0.7276040104010395,0.13898711299701189,3,0.8415841584158423,-0.0679841378220895,3,0.06797410510281376,-1.8760608203677502,0,0.4084158415841588,-0.0932188293000379,2,-0.1649755546274223,2.095780698759531,2,0.0,0,0
log_norm_ratio_low_75,log_norm_ratio,low,0.75,0.5,0.75,0.023192597553133965,0.5,0.20497031150443945,0.272557342495323,,-0.7355597166859527,2,0.7276040104010395,-0.40016501650165104,1,0.8415841584158423,-0.06692331745433895,4,0.06797410510281376,-1.8749999999999998,0,0.4084158415841588,-0.10772890099686276,1,-0.1649755546274223,2.081270627062706,1,0.0,0,0
