contrast,group,proxy,statistic,estimate,ci_low,ci_high,valid_observations
source/global_generic-minus-no_adapt/K1,corrupted_overall,tp_score75_mean,loss_bad_proxy_good,0.2515391380826737,0.2252008988982367,0.28010877638357823,1137
source/global_generic-minus-no_adapt/K1,corrupted_overall,tp_score75_mean,loss_bad_proxy_bad,0.25769569041336854,0.23070320193108193,0.2847071534346762,1137
source/global_generic-minus-no_adapt/K1,corrupted_overall,tp_score75_mean,ties,0.0008795074758135445,0.0,0.0026930586942951022,1137
source/global_generic-minus-no_adapt/K1,corrupted_overall,tp_score75_mean,proxy_bad_given_loss_good,0.47755834829443444,0.43285881786058467,0.5209125475285171,557
source/global_generic-minus-no_adapt/K1,corrupted_overall,fp05,mean_delta,-0.01,-0.07416666666666667,0.056666666666666664,1200
source/global_generic-minus-no_adapt/K1,corrupted_overall,fp05,loss_good_proxy_good,0.11833333333333333,0.09916666666666667,0.13666666666666666,1200
source/global_generic-minus-no_adapt/K1,corrupted_overall,fp05,loss_good_proxy_bad,0.1075,0.09,0.125,1200
source/global_generic-minus-no_adapt/K1,corrupted_overall,fp05,loss_bad_proxy_good,0.10916666666666666,0.09,0.12833333333333333,1200
source/global_generic-minus-no_adapt/K1,corrupted_overall,fp05,loss_bad_proxy_bad,0.11416666666666667,0.095,0.13333333333333333,1200
source/global_generic-minus-no_adapt/K1,corrupted_overall,fp05,ties,0.5508333333333333,0.5133125,0.59,1200
source/global_generic-minus-no_adapt/K1,corrupted_overall,fp05,proxy_bad_given_loss_good,0.215,0.181523367085493,0.24878894438911492,600
source/global_generic-minus-no_adapt/K1,corrupted_overall,fp50,mean_delta,-0.008333333333333333,-0.04083333333333333,0.023333333333333334,1200
source/global_generic-minus-no_adapt/K1,corrupted_overall,fp50,loss_good_proxy_good,0.04083333333333333,0.029166666666666667,0.05333333333333334,1200
source/global_generic-minus-no_adapt/K1,corrupted_overall,fp50,loss_good_proxy_bad,0.03666666666666667,0.025833333333333333,0.04833333333333333,1200
source/global_generic-minus-no_adapt/K1,corrupted_overall,fp50,loss_bad_proxy_good,0.03333333333333333,0.0225,0.04502083333333322,1200
source/global_generic-minus-no_adapt/K1,corrupted_overall,fp50,loss_bad_proxy_bad,0.0425,0.03,0.05583333333333333,1200
source/global_generic-minus-no_adapt/K1,corrupted_overall,fp50,ties,0.8466666666666667,0.8191666666666667,0.8716666666666667,1200
source/global_generic-minus-no_adapt/K1,corrupted_overall,fp50,proxy_bad_given_loss_good,0.07333333333333333,0.051666666666666666,0.09618952731989946,600
source/global_generic-minus-no_adapt/K1,corrupted_overall,duplicates,mean_delta,0.0025,-0.028333333333333332,0.034166666666666665,1200
source/global_generic-minus-no_adapt/K1,corrupted_overall,duplicates,loss_good_proxy_good,0.045,0.03166666666666667,0.059166666666666666,1200
source/global_generic-minus-no_adapt/K1,corrupted_overall,duplicates,loss_good_proxy_bad,0.035,0.025833333333333333,0.04583333333333333,1200
source/global_generic-minus-no_adapt/K1,corrupted_overall,duplicates,loss_bad_proxy_good,0.043333333333333335,0.030833333333333334,0.056687499999999884,1200
source/global_generic-minus-no_adapt/K1,corrupted_overall,duplicates,loss_bad_proxy_bad,0.050833333333333335,0.0383125,0.065,1200
source/global_generic-minus-no_adapt/K1,corrupted_overall,duplicates,ties,0.8258333333333333,0.7933333333333333,0.855,1200
source/global_generic-minus-no_adapt/K1,corrupted_overall,duplicates,proxy_bad_given_loss_good,0.07,0.05089957740491611,0.09197374268572697,600
source/global_generic-minus-no_adapt/K1,gamma_s1,recall50,mean_delta,0.002345649186101447,-0.001575455896854557,0.008267603677962898,199
source/global_generic-minus-no_adapt/K1,gamma_s1,recall50,loss_good_proxy_good,0.005025125628140704,0.0,0.01515343793262574,199
source/global_generic-minus-no_adapt/K1,gamma_s1,recall50,loss_good_proxy_bad,0.02512562814070352,0.005025125628140704,0.05,199
source/global_generic-minus-no_adapt/K1,gamma_s1,recall50,loss_bad_proxy_good,0.010050251256281407,0.0,0.025252525252525252,199
source/global_generic-minus-no_adapt/K1,gamma_s1,recall50,loss_bad_proxy_bad,0.0,0.0,0.0,199
source/global_generic-minus-no_adapt/K1,gamma_s1,recall50,ties,0.9597989949748744,0.93,0.9849246231155779,199
source/global_generic-minus-no_adapt/K1,gamma_s1,recall50,proxy_bad_given_loss_good,0.05952380952380952,0.012654272151898734,0.11459231321839075,84
source/global_generic-minus-no_adapt/K1,gamma_s1,recall75,mean_delta,-0.005287836260577541,-0.0185683297863685,0.004816277159013386,199
source/global_generic-minus-no_adapt/K1,gamma_s1,recall75,loss_good_proxy_good,0.020100502512562814,0.005,0.04060913705583756,199
