detector,case,variant,k,iou,tp_count,mean,p10,p25,median,p75,p90
target,contrast_s2,no_adapt,0,75,793,0.614231880777721,0.3288079619407654,0.48941418528556824,0.6472547054290771,0.759215772151947,0.8240606904029847
target,contrast_s2,global_generic,1,50,1116,0.5781416383081226,0.3105911612510681,0.4312158226966858,0.596788614988327,0.7242951840162277,0.8065687119960785
target,contrast_s2,global_generic,1,75,790,0.614923366602463,0.3266991555690765,0.4923187866806984,0.6511226296424866,0.7579209208488464,0.8240299224853516
target,contrast_s2,global_generic,3,50,1116,0.5777436720080487,0.308173269033432,0.42836859822273254,0.5985036492347717,0.7241559773683548,0.806276798248291
target,contrast_s2,global_generic,3,75,795,0.6131393383696394,0.32043227553367615,0.4896056056022644,0.6519014835357666,0.7576253414154053,0.8233092784881592
target,contrast_s2,det_pseudo,1,50,1116,0.5790622650936086,0.31450895965099335,0.43501080572605133,0.5998833477497101,0.7266195118427277,0.8073092401027679
target,contrast_s2,det_pseudo,1,75,794,0.6148621358859448,0.33492682576179506,0.49452687054872513,0.6460115313529968,0.7578516453504562,0.8277281641960145
target,contrast_s2,det_pseudo,3,50,1121,0.5800791176885074,0.31836575269699097,0.4415090084075928,0.6007581353187561,0.7227551937103271,0.8074272871017456
target,contrast_s2,det_pseudo,3,75,793,0.6166677986275203,0.3330199301242828,0.5013005137443542,0.6468230485916138,0.7604400515556335,0.8283452153205872
target,contrast_s2,det_pseudo_clip_radius,1,50,1121,0.5774115977757324,0.3122146427631378,0.4313410520553589,0.5977991223335266,0.7233706712722778,0.806471586227417
target,contrast_s2,det_pseudo_clip_radius,1,75,792,0.6148242645266683,0.3351346135139465,0.4921964183449745,0.6477506458759308,0.7583838254213333,0.8243607521057129
target,contrast_s2,det_pseudo_clip_radius,3,50,1117,0.5795109833231331,0.31951797008514404,0.433383584022522,0.600395143032074,0.7241824269294739,0.8070280313491821
target,contrast_s2,det_pseudo_clip_radius,3,75,795,0.6144422898689906,0.33599578142166137,0.49008020758628845,0.6475895643234253,0.7586788535118103,0.825266444683075
target,color_cast_s1,no_adapt,0,50,1219,0.5932330406034844,0.33683645725250244,0.458288237452507,0.6165127158164978,0.7291124165058136,0.8100548505783081
target,color_cast_s1,no_adapt,0,75,882,0.6258593847185305,0.3616889834403992,0.5171522200107574,0.6581398844718933,0.7565179020166397,0.8284831464290618
target,color_cast_s1,global_generic,1,50,1219,0.5931255316103551,0.33430601954460143,0.45823152363300323,0.6167647838592529,0.7290230095386505,0.810630202293396
target,color_cast_s1,global_generic,1,75,882,0.6266986456385005,0.3656407296657562,0.5182426273822784,0.6584191620349884,0.7558155655860901,0.8292988121509552
target,color_cast_s1,global_generic,3,50,1223,0.5922085637209947,0.33316994905471803,0.4565926492214203,0.6171663403511047,0.727421760559082,0.8103167533874511
target,color_cast_s1,global_generic,3,75,881,0.6251881154894694,0.3543611764907837,0.5167306661605835,0.6587711572647095,0.7562077045440674,0.8286915421485901
target,color_cast_s1,det_pseudo,1,50,1221,0.593923438825537,0.3401308059692383,0.45537227392196655,0.6202237010002136,0.7288368344306946,0.8100245594978333
target,color_cast_s1,det_pseudo,1,75,888,0.6243067842715226,0.3600081592798233,0.5159114450216293,0.6583583056926727,0.7558882236480713,0.8291150629520416
target,color_cast_s1,det_pseudo,3,50,1218,0.5944288587090613,0.34281339049339293,0.4547264203429222,0.6200986504554749,0.7285787910223007,0.8100412786006926
target,color_cast_s1,det_pseudo,3,75,887,0.6239740019653669,0.36122177839279174,0.5149971544742584,0.6589093208312988,0.7543850541114807,0.8291065335273743
target,color_cast_s1,det_pseudo_clip_radius,1,50,1220,0.592974709438496,0.333940914273262,0.4576839953660965,0.6175007224082947,0.7293019741773605,0.810328495502472
target,color_cast_s1,det_pseudo_clip_radius,1,75,884,0.624700368327253,0.36000438332557677,0.5162102729082108,0.6596638262271881,0.7559732049703598,0.8290727317333222
target,color_cast_s1,det_pseudo_clip_radius,3,50,1220,0.593729529346599,0.33881982266902927,0.45781177282333374,0.6190712153911591,0.7296697050333023,0.8102610349655152
target,color_cast_s1,det_pseudo_clip_radius,3,75,885,0.6245456740175936,0.3488513946533203,0.5159865617752075,0.6610490083694458,0.7562081217765808,0.8292793750762939
target,color_cast_s2,no_adapt,0,50,1197,0.5893095864438971,0.3282092273235321,0.4577566385269165,0.6096006035804749,0.725599467754364,0.8041008114814758
target,color_cast_s2,no_adapt,0,75,871,0.6198293562940013,0.35362493991851807,0.5007045269012451,0.6538419127464294,0.7542908787727356,0.8236252069473267
target,color_cast_s2,global_generic,1,50,1199,0.5886112906417815,0.3252213835716248,0.4563000351190567,0.6103652715682983,0.7251206338405609,0.8035774230957031
target,color_cast_s2,global_generic,1,75,874,0.6186274757578935,0.35337423086166386,0.4973241612315178,0.6526748538017273,0.7536705434322357,0.8224641263484955
target,color_cast_s2,global_generic,3,50,1199,0.5891456506195617,0.3255507230758667,0.4579014182090759,0.6115716099739075,0.725196897983551,0.8036600470542908
target,color_cast_s2,global_generic,3,75,870,0.6202126242306041,0.3563636749982834,0.5017526894807816,0.6533313095569611,0.7540789246559143,0.8221411943435669
target,color_cast_s2,det_pseudo,1,50,1200,0.5887655560548107,0.32714534997940065,0.4573380649089813,0.6076754033565521,0.7244924902915955,0.803543609380722
target,color_cast_s2,det_pseudo,1,75,871,0.6204369944594074,0.3615575432777405,0.5008785724639893,0.653541624546051,0.7543654441833496,0.8231728076934814
target,color_cast_s2,det_pseudo,3,50,1200,0.5892883493751288,0.327714341878891,0.45808909833431244,0.6094569265842438,0.7246961742639542,0.8049918591976166
target,color_cast_s2,det_pseudo,3,75,876,0.6182892317777355,0.35168807208538055,0.49776697158813477,0.6542800664901733,0.7538079619407654,0.8224178850650787
target,color_cast_s2,det_pseudo_clip_radius,1,50,1199,0.589233952788038,0.3275349795818329,0.4578684866428375,0.6100630760192871,0.7256567776203156,0.803787910938263
