contrast,group,failure,statistic,estimate,ci_low,ci_high,valid_observations
source/global_generic-minus-no_adapt/K3,corrupted_overall,false_positives,given_loss_good,0.34536082474226804,0.30332328990228014,0.38422589512465,582
source/global_generic-minus-no_adapt/K3,corrupted_overall,duplicates,loss_good_proxy_bad,0.056666666666666664,0.04416666666666667,0.07083333333333333,1200
source/global_generic-minus-no_adapt/K3,corrupted_overall,duplicates,given_loss_good,0.11683848797250859,0.09185314089268971,0.14579940734399066,582
source/global_generic-minus-no_adapt/K3,gamma_s1,geometry,loss_good_proxy_bad,0.27638190954773867,0.215,0.34,199
source/global_generic-minus-no_adapt/K3,gamma_s1,geometry,given_loss_good,0.5789473684210527,0.47673034330011077,0.6790370370370369,95
source/global_generic-minus-no_adapt/K3,gamma_s1,class_score,loss_good_proxy_bad,0.2663316582914573,0.205,0.32663316582914576,199
source/global_generic-minus-no_adapt/K3,gamma_s1,class_score,given_loss_good,0.5578947368421052,0.45780529525509445,0.654320987654321,95
source/global_generic-minus-no_adapt/K3,gamma_s1,false_positives,loss_good_proxy_bad,0.175,0.125,0.225,200
source/global_generic-minus-no_adapt/K3,gamma_s1,false_positives,given_loss_good,0.3684210526315789,0.2736842105263158,0.46078431372549017,95
source/global_generic-minus-no_adapt/K3,gamma_s1,duplicates,loss_good_proxy_bad,0.06,0.03,0.095,200
source/global_generic-minus-no_adapt/K3,gamma_s1,duplicates,given_loss_good,0.12631578947368421,0.06449897048730267,0.1978021978021978,95
source/global_generic-minus-no_adapt/K3,gamma_s2,geometry,loss_good_proxy_bad,0.22110552763819097,0.165,0.2828282828282828,199
source/global_generic-minus-no_adapt/K3,gamma_s2,geometry,given_loss_good,0.44,0.3457606438213915,0.5402376514445479,100
source/global_generic-minus-no_adapt/K3,gamma_s2,class_score,loss_good_proxy_bad,0.24623115577889448,0.18592964824120603,0.3065326633165829,199
source/global_generic-minus-no_adapt/K3,gamma_s2,class_score,given_loss_good,0.49,0.38771468983633056,0.5922709344660192,100
source/global_generic-minus-no_adapt/K3,gamma_s2,false_positives,loss_good_proxy_bad,0.18,0.125,0.235,200
source/global_generic-minus-no_adapt/K3,gamma_s2,false_positives,given_loss_good,0.36,0.26666666666666666,0.45652173913043476,100
source/global_generic-minus-no_adapt/K3,gamma_s2,duplicates,loss_good_proxy_bad,0.045,0.02,0.075,200
source/global_generic-minus-no_adapt/K3,gamma_s2,duplicates,given_loss_good,0.09,0.03772703226944101,0.15,100
source/global_generic-minus-no_adapt/K3,contrast_s1,geometry,loss_good_proxy_bad,0.21608040201005024,0.16,0.2727272727272727,199
source/global_generic-minus-no_adapt/K3,contrast_s1,geometry,given_loss_good,0.4479166666666667,0.3493975903614458,0.5476304945054945,96
source/global_generic-minus-no_adapt/K3,contrast_s1,class_score,loss_good_proxy_bad,0.22613065326633167,0.1717171717171717,0.285,199
source/global_generic-minus-no_adapt/K3,contrast_s1,class_score,given_loss_good,0.46875,0.3711253330244411,0.5679082491582491,96
source/global_generic-minus-no_adapt/K3,contrast_s1,false_positives,loss_good_proxy_bad,0.155,0.105,0.205,200
source/global_generic-minus-no_adapt/K3,contrast_s1,false_positives,given_loss_good,0.31958762886597936,0.22782200182696072,0.4186234058514628,97
source/global_generic-minus-no_adapt/K3,contrast_s1,duplicates,loss_good_proxy_bad,0.055,0.025,0.09,200
source/global_generic-minus-no_adapt/K3,contrast_s1,duplicates,given_loss_good,0.1134020618556701,0.05317749160134379,0.18075027382256284,97
source/global_generic-minus-no_adapt/K3,contrast_s2,geometry,loss_good_proxy_bad,0.21105527638190955,0.15812332508761082,0.2676767676767677,199
source/global_generic-minus-no_adapt/K3,contrast_s2,geometry,given_loss_good,0.4375,0.3437421085858586,0.5400057471264368,96
source/global_generic-minus-no_adapt/K3,contrast_s2,class_score,loss_good_proxy_bad,0.18090452261306533,0.13,0.235,199
source/global_generic-minus-no_adapt/K3,contrast_s2,class_score,given_loss_good,0.375,0.279989247311828,0.4752565805361023,96
source/global_generic-minus-no_adapt/K3,contrast_s2,false_positives,loss_good_proxy_bad,0.21,0.155,0.27,200
source/global_generic-minus-no_adapt/K3,contrast_s2,false_positives,given_loss_good,0.4329896907216495,0.33325,0.5333495145631068,97
source/global_generic-minus-no_adapt/K3,contrast_s2,duplicates,loss_good_proxy_bad,0.09,0.05,0.13,200
source/global_generic-minus-no_adapt/K3,contrast_s2,duplicates,given_loss_good,0.18556701030927836,0.10987012987012987,0.26666666666666666,97
source/global_generic-minus-no_adapt/K3,color_cast_s1,geometry,loss_good_proxy_bad,0.22613065326633167,0.17,0.285,199
source/global_generic-minus-no_adapt/K3,color_cast_s1,geometry,given_loss_good,0.4639175257731959,0.36470281862745096,0.5604472630173565,97
source/global_generic-minus-no_adapt/K3,color_cast_s1,class_score,loss_good_proxy_bad,0.25125628140703515,0.195,0.31123282227463844,199
source/global_generic-minus-no_adapt/K3,color_cast_s1,class_score,given_loss_good,0.5154639175257731,0.4150893215576074,0.6122689641894492,97
source/global_generic-minus-no_adapt/K3,color_cast_s1,false_positives,loss_good_proxy_bad,0.13,0.085,0.18,200
source/global_generic-minus-no_adapt/K3,color_cast_s1,false_positives,given_loss_good,0.2653061224489796,0.1799736842105263,0.35645332390381884,98
source/global_generic-minus-no_adapt/K3,color_cast_s1,duplicates,loss_good_proxy_bad,0.04,0.015,0.07,200
source/global_generic-minus-no_adapt/K3,color_cast_s1,duplicates,given_loss_good,0.08163265306122448,0.031578947368421054,0.13861386138613863,98
source/global_generic-minus-no_adapt/K3,color_cast_s2,geometry,loss_good_proxy_bad,0.27638190954773867,0.21209456372772956,0.33668341708542715,199
source/global_generic-minus-no_adapt/K3,color_cast_s2,geometry,given_loss_good,0.5789473684210527,0.4747344579818807,0.6705156117247235,95
source/global_generic-minus-no_adapt/K3,color_cast_s2,class_score,loss_good_proxy_bad,0.25125628140703515,0.19494733502538072,0.31155778894472363,199
source/global_generic-minus-no_adapt/K3,color_cast_s2,class_score,given_loss_good,0.5263157894736842,0.4257373077733305,0.6250343406593405,95
source/global_generic-minus-no_adapt/K3,color_cast_s2,false_positives,loss_good_proxy_bad,0.155,0.105,0.21,200
source/global_generic-minus-no_adapt/K3,color_cast_s2,false_positives,given_loss_good,0.3263157894736842,0.23255226685459243,0.41935483870967744,95
source/global_generic-minus-no_adapt/K3,color_cast_s2,duplicates,loss_good_proxy_bad,0.05,0.025,0.085,200
source/global_generic-minus-no_adapt/K3,color_cast_s2,duplicates,given_loss_good,0.10526315789473684,0.053749142072752235,0.17172531769305957,95
source/global_generic-minus-no_adapt/K3,clean_s0,geometry,loss_good_proxy_bad,0.2864321608040201,0.22110552763819097,0.35,199
source/global_generic-minus-no_adapt/K3,clean_s0,geometry,given_loss_good,0.5327102803738317,0.4347716293368467,0.6239110863414213,107
source/global_generic-minus-no_adapt/K3,clean_s0,class_score,loss_good_proxy_bad,0.23618090452261306,0.17764254217299902,0.295,199
source/global_generic-minus-no_adapt/K3,clean_s0,class_score,given_loss_good,0.4392523364485981,0.3505025773195876,0.5339974045948284,107
source/global_generic-minus-no_adapt/K3,clean_s0,false_positives,loss_good_proxy_bad,0.17,0.12,0.22,200
source/global_generic-minus-no_adapt/K3,clean_s0,false_positives,given_loss_good,0.3177570093457944,0.23476889933411674,0.4038690476190475,107
source/global_generic-minus-no_adapt/K3,clean_s0,duplicates,loss_good_proxy_bad,0.085,0.05,0.125,200
source/global_generic-minus-no_adapt/K3,clean_s0,duplicates,given_loss_good,0.1588785046728972,0.09090909090909091,0.22937606560038962,107
source/global_generic-minus-no_adapt/K3,"corrupted_overall ratio [0,1)",geometry,loss_good_proxy_bad,0.23826714801444043,0.1887492593324116,0.28679563729002466,277
source/global_generic-minus-no_adapt/K3,"corrupted_overall ratio [0,1)",geometry,given_loss_good,0.532258064516129,0.4380165289256198,0.6183286971147626,124
source/global_generic-minus-no_adapt/K3,"corrupted_overall ratio [0,1)",class_score,loss_good_proxy_bad,0.22021660649819494,0.1709909196172832,0.2738657299860619,277
source/global_generic-minus-no_adapt/K3,"corrupted_overall ratio [0,1)",class_score,given_loss_good,0.49193548387096775,0.399965034965035,0.583941605839416,124
source/global_generic-minus-no_adapt/K3,"corrupted_overall ratio [0,1)",false_positives,loss_good_proxy_bad,0.10954063604240283,0.0708955223880597,0.14981306032964023,283
source/global_generic-minus-no_adapt/K3,"corrupted_overall ratio [0,1)",false_positives,given_loss_good,0.2440944881889764,0.16546627359766322,0.3217464996315401,127
source/global_generic-minus-no_adapt/K3,"corrupted_overall ratio [0,1)",duplicates,loss_good_proxy_bad,0.04946996466431095,0.02640046899426785,0.0738255033557047,283
source/global_generic-minus-no_adapt/K3,"corrupted_overall ratio [0,1)",duplicates,given_loss_good,0.11023622047244094,0.05932046453232894,0.16379663651780665,127
source/global_generic-minus-no_adapt/K3,"corrupted_overall ratio [1,2)",geometry,loss_good_proxy_bad,0.20809248554913296,0.14465045261206239,0.27513599072587835,173
