contrast,group,event,estimate,ci_low,ci_high,valid_observations
global_generic-minus-no_adapt/K3,gamma_s1,target_only_fail,0.23,0.17,0.29,200
global_generic-minus-no_adapt/K3,gamma_s1,both_any_fail,0.16,0.11,0.21,200
global_generic-minus-no_adapt/K3,gamma_s1,both_geometry,0.06030150753768844,0.030146984924623116,0.09547738693467336,199
global_generic-minus-no_adapt/K3,gamma_s1,both_class_score,0.05527638190954774,0.02512562814070352,0.09045226130653267,199
global_generic-minus-no_adapt/K3,gamma_s1,both_false_positives,0.025,0.005,0.05,200
global_generic-minus-no_adapt/K3,gamma_s1,both_duplicates,0.015,0.0,0.035,200
global_generic-minus-no_adapt/K3,gamma_s2,source_only_fail,0.28,0.22,0.345,200
global_generic-minus-no_adapt/K3,gamma_s2,target_only_fail,0.175,0.125,0.23,200
global_generic-minus-no_adapt/K3,gamma_s2,both_any_fail,0.13,0.085,0.18,200
global_generic-minus-no_adapt/K3,gamma_s2,both_geometry,0.02512562814070352,0.005025125628140704,0.05,199
global_generic-minus-no_adapt/K3,gamma_s2,both_class_score,0.02512562814070352,0.005025125628140704,0.04568527918781726,199
global_generic-minus-no_adapt/K3,gamma_s2,both_false_positives,0.04,0.015,0.07,200
global_generic-minus-no_adapt/K3,gamma_s2,both_duplicates,0.005,0.0,0.015,200
global_generic-minus-no_adapt/K3,contrast_s1,source_only_fail,0.24,0.18,0.295,200
global_generic-minus-no_adapt/K3,contrast_s1,target_only_fail,0.26,0.2,0.32,200
global_generic-minus-no_adapt/K3,contrast_s1,both_any_fail,0.15,0.105,0.2,200
global_generic-minus-no_adapt/K3,contrast_s1,both_geometry,0.02512562814070352,0.005025125628140704,0.05,199
global_generic-minus-no_adapt/K3,contrast_s1,both_class_score,0.05025125628140704,0.025,0.08040201005025126,199
global_generic-minus-no_adapt/K3,contrast_s1,both_false_positives,0.015,0.0,0.035,200
global_generic-minus-no_adapt/K3,contrast_s1,both_duplicates,0.0,0.0,0.0,200
global_generic-minus-no_adapt/K3,contrast_s2,source_only_fail,0.255,0.195,0.315,200
global_generic-minus-no_adapt/K3,contrast_s2,target_only_fail,0.215,0.16,0.275,200
global_generic-minus-no_adapt/K3,contrast_s2,both_any_fail,0.145,0.1,0.195,200
global_generic-minus-no_adapt/K3,contrast_s2,both_geometry,0.02512562814070352,0.005025125628140704,0.05,199
global_generic-minus-no_adapt/K3,contrast_s2,both_class_score,0.04020100502512563,0.015,0.07035175879396985,199
global_generic-minus-no_adapt/K3,contrast_s2,both_false_positives,0.01,0.0,0.025,200
global_generic-minus-no_adapt/K3,contrast_s2,both_duplicates,0.01,0.0,0.025,200
global_generic-minus-no_adapt/K3,color_cast_s1,source_only_fail,0.26,0.2,0.325,200
global_generic-minus-no_adapt/K3,color_cast_s1,target_only_fail,0.21,0.155,0.265,200
global_generic-minus-no_adapt/K3,color_cast_s1,both_any_fail,0.155,0.105,0.205,200
global_generic-minus-no_adapt/K3,color_cast_s1,both_geometry,0.04020100502512563,0.01507537688442211,0.0700087939698492,199
global_generic-minus-no_adapt/K3,color_cast_s1,both_class_score,0.06532663316582915,0.035,0.1,199
global_generic-minus-no_adapt/K3,color_cast_s1,both_false_positives,0.015,0.0,0.035,200
global_generic-minus-no_adapt/K3,color_cast_s1,both_duplicates,0.01,0.0,0.025,200
global_generic-minus-no_adapt/K3,color_cast_s2,source_only_fail,0.21,0.155,0.265,200
global_generic-minus-no_adapt/K3,color_cast_s2,target_only_fail,0.25,0.19,0.31,200
global_generic-minus-no_adapt/K3,color_cast_s2,both_any_fail,0.195,0.14,0.255,200
global_generic-minus-no_adapt/K3,color_cast_s2,both_geometry,0.07537688442211055,0.04020100502512563,0.115,199
global_generic-minus-no_adapt/K3,color_cast_s2,both_class_score,0.05527638190954774,0.025252525252525252,0.09045226130653267,199
global_generic-minus-no_adapt/K3,color_cast_s2,both_false_positives,0.025,0.005,0.05,200
global_generic-minus-no_adapt/K3,color_cast_s2,both_duplicates,0.005,0.0,0.015,200
global_generic-minus-no_adapt/K3,clean_s0,source_only_fail,0.29,0.23,0.355,200
global_generic-minus-no_adapt/K3,clean_s0,target_only_fail,0.185,0.135,0.24,200
global_generic-minus-no_adapt/K3,clean_s0,both_any_fail,0.165,0.115,0.215,200
global_generic-minus-no_adapt/K3,clean_s0,both_geometry,0.06030150753768844,0.03,0.09547738693467336,199
global_generic-minus-no_adapt/K3,clean_s0,both_class_score,0.05025125628140704,0.025,0.08080808080808081,199
global_generic-minus-no_adapt/K3,clean_s0,both_false_positives,0.03,0.01,0.055,200
global_generic-minus-no_adapt/K3,clean_s0,both_duplicates,0.01,0.0,0.025,200
global_generic-minus-no_adapt/K3,"corrupted_overall ratio [0,1)",source_only_fail,0.254416961130742,0.19927468126838835,0.30619674065408775,283
global_generic-minus-no_adapt/K3,"corrupted_overall ratio [0,1)",target_only_fail,0.22968197879858657,0.17542763157894736,0.2847089774243772,283
global_generic-minus-no_adapt/K3,"corrupted_overall ratio [0,1)",both_any_fail,0.10247349823321555,0.06737499104520381,0.13910462130937093,283
global_generic-minus-no_adapt/K3,"corrupted_overall ratio [0,1)",both_geometry,0.02527075812274368,0.008724488863715261,0.043658424908424864,277
global_generic-minus-no_adapt/K3,"corrupted_overall ratio [0,1)",both_class_score,0.039711191335740074,0.0195293500729572,0.0636042402826855,277
global_generic-minus-no_adapt/K3,"corrupted_overall ratio [0,1)",both_false_positives,0.02120141342756184,0.006711409395973154,0.0390631361970684,283
global_generic-minus-no_adapt/K3,"corrupted_overall ratio [0,1)",both_duplicates,0.0035335689045936395,0.0,0.011238075047699797,283
global_generic-minus-no_adapt/K3,"corrupted_overall ratio [1,2)",source_only_fail,0.24855491329479767,0.18748282967032967,0.3157962912462503,173
global_generic-minus-no_adapt/K3,"corrupted_overall ratio [1,2)",target_only_fail,0.2138728323699422,0.15590501792114694,0.27528510394940453,173
global_generic-minus-no_adapt/K3,"corrupted_overall ratio [1,2)",both_any_fail,0.1791907514450867,0.12138290418637239,0.237501726519337,173
global_generic-minus-no_adapt/K3,"corrupted_overall ratio [1,2)",both_geometry,0.05202312138728324,0.01910525679271144,0.09239366046745412,173
global_generic-minus-no_adapt/K3,"corrupted_overall ratio [1,2)",both_class_score,0.04046242774566474,0.012268068232829568,0.07142857142857142,173
global_generic-minus-no_adapt/K3,"corrupted_overall ratio [1,2)",both_false_positives,0.023121387283236993,0.005555555555555556,0.04764069264069252,173
global_generic-minus-no_adapt/K3,"corrupted_overall ratio [1,2)",both_duplicates,0.005780346820809248,0.0,0.018292682926829267,173
global_generic-minus-no_adapt/K3,"corrupted_overall ratio [2,4)",source_only_fail,0.26436781609195403,0.2131782945736434,0.31699311171009276,261
global_generic-minus-no_adapt/K3,"corrupted_overall ratio [2,4)",target_only_fail,0.2222222222222222,0.16979832120041596,0.2775671321160042,261
global_generic-minus-no_adapt/K3,"corrupted_overall ratio [2,4)",both_any_fail,0.1724137931034483,0.1274024024024024,0.21457276078941653,261
global_generic-minus-no_adapt/K3,"corrupted_overall ratio [2,4)",both_geometry,0.04597701149425287,0.023074712643678164,0.07170490280160087,261
global_generic-minus-no_adapt/K3,"corrupted_overall ratio [2,4)",both_class_score,0.05747126436781609,0.03064841624989032,0.08527131782945736,261
global_generic-minus-no_adapt/K3,"corrupted_overall ratio [2,4)",both_false_positives,0.03065134099616858,0.011450381679389313,0.05158913196274818,261
global_generic-minus-no_adapt/K3,"corrupted_overall ratio [2,4)",both_duplicates,0.011494252873563218,0.0,0.025456867949568668,261
global_generic-minus-no_adapt/K3,"corrupted_overall ratio [4,inf)",source_only_fail,0.23809523809523808,0.2016289172853295,0.27557960118633396,483
global_generic-minus-no_adapt/K3,"corrupted_overall ratio [4,inf)",target_only_fail,0.2236024844720497,0.1823940388837246,0.2654729603293413,483
global_generic-minus-no_adapt/K3,"corrupted_overall ratio [4,inf)",both_any_fail,0.16977225672877846,0.13645162014456613,0.20196384803921566,483
global_generic-minus-no_adapt/K3,"corrupted_overall ratio [4,inf)",both_geometry,0.045548654244306416,0.027942720137414414,0.06410505836575874,483
global_generic-minus-no_adapt/K3,"corrupted_overall ratio [4,inf)",both_class_score,0.051759834368530024,0.033469316596931656,0.07143222319602685,483
global_generic-minus-no_adapt/K3,"corrupted_overall ratio [4,inf)",both_false_positives,0.016563146997929608,0.00631578947368421,0.029282591414944336,483
global_generic-minus-no_adapt/K3,"corrupted_overall ratio [4,inf)",both_duplicates,0.008281573498964804,0.0019454308488534623,0.016844781445138256,483
global_generic-minus-no_adapt/K3,"clean_s0 ratio [0,1)",source_only_fail,0.2711864406779661,0.1694915254237288,0.3898305084745763,59
global_generic-minus-no_adapt/K3,"clean_s0 ratio [0,1)",target_only_fail,0.2033898305084746,0.1016949152542373,0.3050847457627119,59
global_generic-minus-no_adapt/K3,"clean_s0 ratio [0,1)",both_any_fail,0.15254237288135594,0.06779661016949153,0.2542372881355932,59
global_generic-minus-no_adapt/K3,"clean_s0 ratio [0,1)",both_geometry,0.06896551724137931,0.01694915254237288,0.13793103448275862,58
global_generic-minus-no_adapt/K3,"clean_s0 ratio [0,1)",both_class_score,0.06896551724137931,0.01694915254237288,0.13793103448275862,58
global_generic-minus-no_adapt/K3,"clean_s0 ratio [0,1)",both_false_positives,0.01694915254237288,0.0,0.05084745762711865,59
global_generic-minus-no_adapt/K3,"clean_s0 ratio [0,1)",both_duplicates,0.0,0.0,0.0,59
global_generic-minus-no_adapt/K3,"clean_s0 ratio [1,2)",source_only_fail,0.22580645161290322,0.0967741935483871,0.3870967741935484,31
global_generic-minus-no_adapt/K3,"clean_s0 ratio [1,2)",target_only_fail,0.22580645161290322,0.0967741935483871,0.3870967741935484,31
global_generic-minus-no_adapt/K3,"clean_s0 ratio [1,2)",both_any_fail,0.1935483870967742,0.06451612903225806,0.3225806451612903,31
global_generic-minus-no_adapt/K3,"clean_s0 ratio [1,2)",both_geometry,0.03225806451612903,0.0,0.0967741935483871,31
global_generic-minus-no_adapt/K3,"clean_s0 ratio [1,2)",both_class_score,0.03225806451612903,0.0,0.0967741935483871,31
global_generic-minus-no_adapt/K3,"clean_s0 ratio [1,2)",both_false_positives,0.03225806451612903,0.0,0.0967741935483871,31
