group,detector,variant,case,AP,AP50,AP75,AP_delta_no_adapt,AP50_delta_no_adapt,AP75_delta_no_adapt,AP_delta_det_pseudo_clip_radius,AP50_delta_det_pseudo_clip_radius,AP75_delta_det_pseudo_clip_radius
aggregate,target,det_pseudo_half_dose,color_cast_s2,36.93039557074806,55.34080466593825,39.01750497800075,0.056922612087101365,0.027577374348042305,0.09437459836841855,-0.033208133220763436,-0.040116102971987644,-0.022637196220642863
aggregate,target,det_pseudo_half_dose,clean_s0,39.338314404506036,58.78556064794223,41.87229203363903,0.022726625101054942,0.014620818722721474,0.1472922992518333,-0.03822069563448327,-0.02543549962614744,-0.10013272313035282
aggregate,ssd,no_adapt,gamma_s1,24.17844063048107,40.36430895874107,25.065528286024392,0.0,0.0,0.0,-0.001116290904956685,-0.08259445902322748,-0.05800605766392297
aggregate,ssd,no_adapt,gamma_s2,23.25772945613843,39.14208673570995,23.839267413856497,0.0,0.0,0.0,-0.11826070945741562,-0.21815432853020678,0.0604560181625996
aggregate,ssd,no_adapt,contrast_s1,24.673338631769106,41.40370083478237,25.243633579849728,0.0,0.0,0.0,-0.048531971494666926,-0.058871164664608955,0.003785389826005403
aggregate,ssd,no_adapt,contrast_s2,22.892204322122936,38.827303963852756,22.6434970584459,0.0,0.0,0.0,-0.024017494708200582,-0.1116156818684988,0.2458063633044627
aggregate,ssd,no_adapt,color_cast_s1,24.238628144488754,40.69254273513056,24.561929137098552,0.0,0.0,0.0,-0.04812293409656443,-0.033315411632106606,-0.05393399885800787
aggregate,ssd,no_adapt,color_cast_s2,23.66790709277057,39.686193768235576,24.03849507801076,0.0,0.0,0.0,0.04708502784042112,0.0314806681391,0.08660089602199883
aggregate,ssd,no_adapt,clean_s0,24.835929299621945,41.58052032476828,25.588730275751203,0.0,0.0,0.0,0.0041213336793327615,0.05138722315151112,0.006933787152552107
aggregate,ssd,det_pseudo_clip_radius,gamma_s1,24.179556921386027,40.4469034177643,25.123534343688313,0.001116290904956685,0.08259445902322748,0.05800605766392297,0.0,0.0,0.0
aggregate,ssd,det_pseudo_clip_radius,gamma_s2,23.375990165595848,39.36024106424016,23.778811395693896,0.11826070945741562,0.21815432853020678,-0.0604560181625996,0.0,0.0,0.0
